wall_elapsed,sim_time,sim_elapsed,rtf_delta,phase,gzserver_cpu,junior_ctrl_cpu,fastlio_cpu,scan_adapter_cpu,junior_ctrl_threads
1.5737451290187892,,,,startup,,,,,
4.918384464021074,,,,startup,,,,,
7.109708336007316,,,,startup,,,,,
12.37034591200063,,,,startup,174.59999999999997,,,,
17.565241461008554,,,,startup,142.8,,,,
22.717867903003935,,,,startup,126.50000000000006,,,,
27.85889108502306,,,,startup,117.8,,,,
32.98172680899734,,,,startup,105.69999999999995,39.099999999999994,,,14.0
38.114087485009804,,,,startup,89.99999999999999,27.400000000000002,,,14.0
40.60989433701616,0.218,0.0,,startup,88.00000000000004,27.099999999999998,,,14.0
43.31837568801711,0.619,0.401,0.14805344694428305,startup,92.39999999999996,29.500000000000004,,,14.0
45.78477380902041,0.95,0.732,0.1342037999385736,startup,93.89999999999996,29.3,,,15.0
48.05115134399966,1.23,1.012,0.12354517095165385,sample,98.40000000000003,30.5,,143.5,15.0
50.53972862500814,1.537,1.319,0.12336365936588106,sample,99.80000000000003,30.500000000000004,15.5,61.49999999999999,15.0
53.13584179402096,1.92,1.702,0.14752823743259094,sample,103.60000000000002,31.600000000000005,26.2,44.599999999999994,15.0
55.74449657401419,2.23,2.012,0.11883519520386845,sample,110.99999999999997,47.300000000000004,18.3,18.200000000000003,16.0
70.93121867100126,4.039,3.8209999999999997,0.11911721228894362,sample,113.79999999999997,34.8,18.0,14.899999999999999,15.0
78.8738717350061,4.657,4.439,0.07780775453994114,sample,121.99999999999997,39.4,21.5,13.200000000000003,15.0
88.54627908300608,5.026,4.808,0.038149758040980364,sample,132.6,44.699999999999996,26.2,11.400000000000002,15.0
99.55239401801373,5.227,5.009,0.018262575049136618,sample,139.69999999999993,48.6,28.700000000000003,10.200000000000001,15.0
111.40865825701621,,,,startup,141.20000000000007,50.300000000000004,29.8,9.900000000000002,15.0
116.54693720000796,5.632,5.414,0.07882016614773144,sample,148.49999999999994,53.5,32.0,10.0,15.0
128.11275378701976,,,,startup,150.79999999999993,54.7,32.7,9.3,15.0
133.21484674300882,6.043,5.825,0.08055517677653252,sample,155.00000000000009,56.800000000000004,33.7,8.700000000000001,15.0
143.7466934719996,6.436,6.218,0.03731539302772013,sample,157.5,58.00000000000001,34.599999999999994,7.4,15.0
