wall_elapsed,sim_time,sim_elapsed,rtf_delta,phase,gzserver_cpu,junior_ctrl_cpu,fastlio_cpu,scan_adapter_cpu,junior_ctrl_threads
1.5137302140065003,,,,startup,,,,,
4.691512977005914,,,,startup,,,,,
7.97872016299516,,,,startup,,,,,
13.616391581002972,,,,startup,97.0,,,,
19.279583088995423,,,,startup,217.29999999999978,,,,
24.90875189700455,,,,startup,182.6999999999999,,,,
30.530436365006608,,,,startup,177.09999999999997,10.0,,,2.0
36.146447805993375,,,,startup,155.80000000000004,98.2,,,14.0
41.75484590699489,0.001,0.0,,startup,159.80000000000007,101.3,,,14.0
47.014584030999686,3.24,3.2390000000000003,0.615810126595011,startup,225.49999999999997,159.0,,,15.0
58.029693688993575,9.946,9.945,0.6088001125920084,startup,254.99999999999994,173.8,,,15.0
69.46389647100295,17.299,17.298,0.6430706311741505,sample,276.49999999999994,182.8,,,15.0
80.54512071999488,24.391,24.389999999999997,0.6400014872585188,sample,292.1,189.1,,,15.0
91.8778709390026,31.62,31.619,0.6378857612051881,sample,299.59999999999997,190.7,,,15.0
103.33438165699772,39.022,39.021,0.646095498202034,sample,307.0999999999999,193.4,,,15.0
114.20150519600429,45.941,45.940000000000005,0.6366910227131284,sample,310.5,194.79999999999998,,,15.0
