ros_time,wall_elapsed,x,y,z,qx,qy,qz,qw,vx,vy,vz,wz
1.83,0.8495662560017081,-0.005165923232762743,0.004996438377467404,0.013918458257524823,0.000611905444065345,0.002716265630734269,0.0006852724343468617,0.9999958889287708,0.0,0.0,0.0,0.0
1.9300000000000002,1.5118415680044563,-0.009120718963999958,0.006080800718793723,0.028810858026222512,0.0005486042286015379,-0.0007286794386279088,0.0014474360052589657,0.9999985364932722,0.0,0.0,0.0,0.0
2.028,2.1275826380006038,-0.015571761964279536,0.002648668127394671,0.04174379523768724,0.00038558919447758593,-0.009316738064334806,0.001138785596751439,0.999955875466602,0.0,0.0,0.0,0.0
2.128,2.7660759710051934,-0.022742229424673632,0.007272117147575755,0.0490505453974285,0.0002591016430369254,-0.018901791226368966,0.001634188346902828,0.9998199760873049,0.0,0.0,0.0,0.0
2.226,3.373740915005328,-0.032629508725536174,0.009269997402736615,0.053681906186579864,-0.00036122445623747016,-0.02595836994337364,0.002160081099305246,0.9996606257107558,0.0,0.0,0.0,0.0
2.326,3.9986696480045794,-0.04487686920086815,0.008530855222101381,0.05462328834007575,-0.0009375859628645884,-0.029500067841508944,0.0016629268656406723,0.9995629552980377,0.0,0.0,0.0,0.0
2.428,4.589009162002185,-0.05981275194454819,0.011416416026957551,0.05770626707984059,-0.001268924755455399,-0.03237169190764152,0.0017378180898559535,0.9994735831332849,0.0,0.0,0.0,0.0
2.526,5.200325431003876,-0.0698510429830517,0.011724004546947867,0.06956207261970054,-0.0011104303801097869,-0.034378463863783904,0.0016775267605392266,0.9994068611284915,0.0,0.0,0.0,0.0
2.626,5.784719973999017,-0.07589000703674992,0.012486660906554793,0.0797490224649807,-0.00103583540447467,-0.03606440726019305,0.0017714790296645903,0.9993473607490201,0.0,0.0,0.0,0.0
2.726,6.37742207699921,-0.08398077863330039,0.013872609205159484,0.08701813088643287,-0.0013932495565775027,-0.03670299993155764,0.0018718707435401427,0.9993234935453159,0.0,0.0,0.0,0.0
2.826,6.9616716820019064,-0.08856826414864001,0.015292697301033293,0.09628535440382884,-0.0013690984752260495,-0.0375207764416695,0.0021522201851146426,0.9992925922135384,0.0,0.0,0.0,0.0
2.928,7.623351909998746,-0.0947948579207333,0.015495325703975462,0.1027739292768975,-0.0015270685762821792,-0.03753130634710606,0.001620407550350335,0.9992929717479315,0.0,0.0,0.0,0.0
3.026,8.168685936005204,-0.09392984529851674,0.0126433102362205,0.11397266862357865,-0.0012990323983040578,-0.04109789298827494,0.00021170812099787926,0.9991542578032794,0.0,0.0,0.0,0.0
3.126,8.749750405004306,-0.09707850497555535,0.013861458645654327,0.12188064595664312,-0.0013301399496718292,-0.043425288481629666,0.00017395236556291382,0.9990557766153866,0.0,0.0,0.0,0.0
3.228,9.35716866599978,-0.10668551346040561,0.014418679846357547,0.12262788165697443,-0.0017427211821117404,-0.043423619913887976,0.0004375925026066254,0.9990551339486992,0.0,0.0,0.0,0.0
3.326,9.933565974002704,-0.1107073343045207,0.012638887313258653,0.12473433224227128,-0.0019257913358313142,-0.04528161970088726,0.00046790109685744796,0.998972295568578,0.0,0.0,0.0,0.0
3.426,10.510172027003136,-0.11934590223834719,0.01237113822041894,0.12068452156217657,-0.002681461823672566,-0.042718434659925315,0.0007445265658707095,0.999083275199261,0.0,0.0,0.0,0.0
3.526,11.091500360002101,-0.12407869253237945,0.010819751294808277,0.12163968597523223,-0.0028667474941332757,-0.044453604619351876,0.0005908300731477156,0.999007161993832,0.0,0.0,0.0,0.0
3.626,11.653471085999627,-0.12448810130608463,0.00881683881097899,0.12901226410190464,-0.0015273546039413352,-0.049028750010218516,0.0004687637228278736,0.9987960898606465,0.0,0.0,0.0,0.0
3.726,12.216149612002482,-0.12758731622513797,0.006357979632802794,0.13151247214523756,-0.0014552648328680414,-0.048800222094972076,0.000637660624050698,0.9988072956865459,0.0,0.0,0.0,0.0
3.828,12.757759792999423,-0.13255318450293455,0.003724913699433155,0.13089361817773892,-0.001185958434252824,-0.047809925311252846,0.000549901561755823,0.9988555962463207,0.0,0.0,0.0,0.0
3.926,13.316672537002887,-0.13323711133588864,0.0032685725897611683,0.13271787851490022,-0.0011851892341526657,-0.048787154900111186,0.0006422552383590388,0.9988082880870769,0.0,0.0,0.0,0.0
4.024,13.860929688002216,-0.13325739394267644,0.0036282893478080495,0.1383900425773098,-0.0006429513516060225,-0.05053262240963173,0.0007188348429169005,0.9987219452692684,0.0,0.0,0.0,0.0
4.126,14.413944746003835,-0.13483663461235454,0.0028414880757445336,0.13940143767651608,-0.0008870287992277698,-0.04841329437834118,0.0005477938011781265,0.9988268448681659,0.0,0.0,0.0,0.0
4.226,14.96112745800201,-0.133886750556417,0.002941685925630981,0.14292245084574193,-0.0009558643858032988,-0.04949549019974645,0.0005857219833250252,0.9987737179676484,0.0,0.0,0.0,0.0
4.326,15.51140665300045,-0.1328507069735205,0.002996653687944672,0.14319754313963226,-0.0010060580738977842,-0.047996034062804026,0.0005864197206374403,0.9988468474562577,0.0,0.0,0.0,0.0
4.426,16.049355193004885,-0.13179505374861578,0.004203306150597698,0.14464757542259968,-0.001149925808294897,-0.04867801709996186,0.0005847396861866397,0.9988136895344142,0.0,0.0,0.0,0.0
4.524,16.63573063399963,-0.13178241465873006,0.004504589378206707,0.14545156401246115,-0.0009369283211566714,-0.04853053211861124,0.0006034368967242744,0.998821077811995,0.0,0.0,0.0,0.0
4.624,17.161031360999914,-0.12978952914521122,0.00512703064610498,0.14757217162342062,-0.0006429434809970682,-0.04941491665579354,0.00067363353019542,0.9987779026657768,0.0,0.0,0.0,0.0
4.726,17.7123555750004,-0.13631722584060535,0.004909358651594827,0.14758483007183365,-0.0003941152745833088,-0.04802121551966434,0.0008620909938970309,0.9988458661536728,0.0,0.0,0.0,0.0
4.826,18.222178385003645,-0.15191090694261977,0.004335245055819146,0.1465489156720472,-0.0023389846858336135,-0.05013668302144403,0.0018603555646352899,0.9987378941661408,0.0,0.0,0.0,0.0
4.924,18.753008006999153,-0.16764131985392522,0.004190551629979808,0.14410133766871341,-0.003871573332644724,-0.04836222491379385,0.002725150698114278,0.9988186420341725,0.0,0.0,0.0,0.0
5.024,19.27952114299842,-0.18611794295093373,0.002975380647934747,0.14290089168598605,0.005897323398960527,-0.053049134502614205,0.007137290259528442,0.9985489822702741,0.0,0.0,0.0,0.0
5.124,19.81050843900448,-0.20621376086190646,-0.004211365561844954,0.13928055020148658,0.0063061094190304595,-0.0488009877360505,0.018602881340279414,0.9986153560735075,0.0,0.0,0.0,0.0
5.224,20.31143858499854,-0.2206470061677563,-0.017953557186212242,0.1357998347898659,0.00565436659204756,-0.046029577015185244,0.033185050794688524,0.9983727052468921,0.0,0.0,0.0,0.0
5.324,20.841839113003516,-0.21970854085545358,-0.03350255573114962,0.14407332377035748,0.006940494905730299,-0.04915413117794192,0.04714098683461463,0.9976539621927348,0.0,0.0,0.0,0.0
5.424,21.351941973000066,-0.21722942953376906,-0.05266802714945641,0.14492549468040541,0.0077738951375846375,-0.048617100366256216,0.057332124729727534,0.9971403971258714,0.0,0.0,0.0,0.0
5.526,21.901135189000343,-0.21595336291022668,-0.06832510227314348,0.14638166264320357,-0.004417054389013347,-0.047969968491620045,0.06177292897776407,0.9969270168868666,0.0,0.0,0.0,0.0
5.624,22.405580901002395,-0.21633221882944653,-0.07586097351019074,0.14583075318361696,-0.008286272475889846,-0.04864139938001162,0.06156676790467328,0.996882583379098,0.0,0.0,0.0,0.0
5.728,22.95124099199893,-0.2249668613142631,-0.07517460735356271,0.14434221844377026,-0.008514648274015869,-0.051453260709128736,0.06330900517775088,0.9966303389876172,0.0,0.0,0.0,0.0
5.826,23.461790264002047,-0.23970900736074274,-0.07358657353153329,0.1424663083794066,-0.007818717650809819,-0.04899298873098093,0.06391131572833575,0.9967215751810414,0.0,0.0,0.0,0.0
5.926,24.002186574005464,-0.26038083728063716,-0.06888727575602635,0.13599765014874843,-0.00885986769141063,-0.04916525947561487,0.06147659137832824,0.9968575167583827,0.0,0.0,0.0,0.0
6.026,24.516060077003203,-0.27879536003032324,-0.06269771086880997,0.13593282783609217,0.0005456124225790306,-0.04911584727868936,0.06117872708329952,0.9969174986956788,0.0,0.0,0.0,0.0
6.126,25.03116004900221,-0.29164920524035537,-0.061511848396562555,0.137435636226563,0.004500632120016899,-0.04888930932451825,0.06350969451646933,0.9967728419488154,0.0,0.0,0.0,0.0
6.224,25.544258321002417,-0.3012505001316789,-0.06366013554984942,0.13787421724980903,0.01030474228305628,-0.04512343162104585,0.06442649303586882,0.9968484915975545,0.0,0.0,0.0,0.0
6.324,26.072305774003325,-0.301549602282319,-0.06853070242879855,0.13906142269895935,0.00555697863148393,-0.04821042228032166,0.06434247523161234,0.9967471700752966,0.0,0.0,0.0,0.0
6.424,26.593208368001797,-0.2969814389609932,-0.07646386978679257,0.13667788353214436,0.0010573506705279093,-0.047853661052882815,0.06310341988940707,0.9968584992523544,0.0,0.0,0.0,0.0
6.526,27.119457309003337,-0.2890394752230728,-0.08138459081456792,0.13736337282558733,-0.0014160709395329744,-0.049350775567964876,0.06258578902998098,0.9968176938163908,0.0,0.0,0.0,0.0
6.624,27.635340496002755,-0.28478001754238674,-0.08183987830375616,0.1366889211664698,-0.0025624368287535918,-0.049517101240313666,0.06233434445470197,0.9968229131112788,0.0,0.0,0.0,0.0
6.724,28.170370439998806,-0.28316647586008564,-0.08060580986938254,0.13129321867015425,-0.004249363553974689,-0.046987648256177086,0.06228497010976442,0.996942669524765,0.0,0.0,0.0,0.0
6.824,28.69707379600004,-0.2811346762723438,-0.07929552332598146,0.1310678066850707,-0.004476651607638474,-0.04879895411809564,0.06234239571941847,0.9968510657883282,0.0,0.0,0.0,0.0
6.926,29.219654667002033,-0.2786365627830006,-0.07405906965106762,0.1319991372117955,-0.004426678446549311,-0.04929193901085536,0.06237110747709079,0.9968252375509765,0.0,0.0,0.0,0.0
