mode,command_speed_mps,status,real_time_factor,actual_mean_horizontal_speed_mps,tracking_ratio,path_length_m,latter_half_mean_horizontal_speed_mps,net_displacement_m,active_sim_elapsed_s,active_wall_elapsed_s,final_stop_mean_speed_mps,min_base_z_m,truth_finite
rl,0.1,completed,0.085466103689961,0.32947393393210495,3.2947393393210493,0.16605486270178088,0.41592783501002606,0.14240485794045452,0.504,5.8970747260027565,0.018703610438897678,0.07977630817967522,True
rl,0.5,completed,0.06529097229540107,0.29695604644283313,0.5939120928856663,0.14966584740718783,0.3935819366166265,0.145290595565622,0.5039999999999998,7.719290772998647,0.288418177064932,0.2044994786661989,True
rl,1.0,completed,0.11573960720686573,0.4100264909717983,0.4100264909717983,0.21075361635950432,0.5685205067070495,0.18987657540253258,0.514,4.441003494001052,0.3275156750378327,0.08832898539981446,True
trotting,0.1,completed,0.09907056090355842,0.33759882615055126,3.3759882615055123,0.17014980837987784,0.09414542863675732,0.15182357895350468,0.504,5.087283198998193,0.03693506945366096,0.09478129506755323,True
trotting,0.5,completed,0.15051954699564335,0.06340731147749883,0.12681462295499765,0.03170365573874941,0.10615854035263533,0.030421471423296206,0.5,3.321827696003311,0.03688731226638674,0.10514305410085065,True
trotting,1.0,completed,0.11261859975346272,0.4048615773723188,0.4048615773723188,0.20405023499564867,0.5135011734595014,0.08008556102035473,0.504,4.475282068000524,0.06600852262575159,0.08724781474658463,True
