pos_FL_calf_joint,pos_FL_hip_joint,pos_FL_thigh_joint,pos_FR_calf_joint,pos_FR_hip_joint,pos_FR_thigh_joint,pos_RL_calf_joint,pos_RL_hip_joint,pos_RL_thigh_joint,pos_RR_calf_joint,pos_RR_hip_joint,pos_RR_thigh_joint,sim_time,vel_FL_calf_joint,vel_FL_hip_joint,vel_FL_thigh_joint,vel_FR_calf_joint,vel_FR_hip_joint,vel_FR_thigh_joint,vel_RL_calf_joint,vel_RL_hip_joint,vel_RL_thigh_joint,vel_RR_calf_joint,vel_RR_hip_joint,vel_RR_thigh_joint
-2.5660678104922265,-0.18093189044839164,0.8096580036777521,-2.566055329723925,0.15268042598790554,0.8102001320222474,-2.566909058596906,-0.17641887754247065,0.8099957833110691,-2.5665954070689523,0.15050260580385366,0.8104446703270058,0.2362,-6.343410994709892,-1.0803085305717008,1.109685520537863,-6.340536069845442,0.9895210583189697,1.109805565759179,-6.3551664931141545,-1.0409265680388164,1.1151263693054012,-6.351525402921137,0.9628079978336558,1.1152951387798469
-2.568409779061767,-0.1808076732371271,0.8095463363807998,-2.568394843343608,0.15256774333615475,0.8100871181167824,-2.5691648587007965,-0.17638615100093347,0.8098404207177223,-2.5688454214930463,0.15048356428428633,0.8102868879738319,0.237,-1.0325580699636132,0.512155492722503,-0.5355131359444015,-1.0257338400908294,-0.49714307540927744,-0.5390571538841848,-0.90549385771383,0.4501519535148968,-0.5751026576805357,-0.8929578818721935,-0.4376705794187538,-0.5802312823076093
-2.5682627531159428,-0.18065472001491045,0.8093512665962237,-2.568246661040548,0.1524180271582969,0.8098908088835053,-2.569065329729389,-0.17614033988530053,0.8096871694684493,-2.568745143254425,0.1502406564320573,0.810132608984639,0.2382,-0.03425862458095724,-0.07880239223301516,0.05223080998902224,-0.035335053096573615,0.07818987691333885,0.05240976439226309,-0.05840783298246008,0.016190532634301803,0.08378677015303587,-0.059750872180764386,-0.01654458834558415,0.08400776894054172
-2.5682685080947314,-0.18067217667715774,0.8093614088569954,-2.568252312627309,0.15243547590617634,0.8099008200545121,-2.569066795030638,-0.17614755236031243,0.8097018701840693,-2.5687464693128277,0.15024778802448946,0.8101472168756434,0.2394,0.005688918681204599,0.0032050676834280657,-0.004045776551260354,0.006068231531334635,-0.0033826972086087987,-0.004170606564823423,0.007236862387143734,-0.005142989986592602,-0.004142642623261646,0.007135477505723454,0.005039209247257963,-0.004062628573077702
-2.5682692440224146,-0.18067179418947177,0.8093613281114713,-2.568252810754256,0.15243504336968172,0.8099007186588212,-2.5690671243002985,-0.17614909824123703,0.8097014549240678,-2.5687472671725677,0.15024934037030846,0.8101468737542277,0.2404,-0.0002993635979096493,9.450108285708164e-05,0.00021830601796167352,0.00017277204075700353,-0.00011834074895575018,0.00012446012825960244,0.00018004224680599062,0.00016286120865664463,-0.0001235102678579427,1.2343161511951112e-05,-0.00020257717020895523,-0.00016265411026764216
-2.568269231095986,-0.18067171796505566,0.8093613451849899,-2.5682526185522843,0.15243500788337982,0.80990071470847,-2.56906724936543,-0.17614900270883638,0.8097014567059189,-2.5687473905660063,0.15024922922984008,0.8101468811159744,0.241,3.6169425013769796e-05,1.1869528663080019e-05,-6.929555812499807e-05,0.00012210489689055276,-4.1651806927070815e-05,-7.559608099426407e-05,-0.0002931046572080785,-4.404362062250316e-05,9.856829280462803e-06,-0.00043107507216152453,1.151068863598537e-05,8.473214548260395e-05
-2.568269286119227,-0.18067171246596558,0.8093612985305425,-2.5682525874821094,0.1524350343498586,0.8099006620134119,-2.5690671350642837,-0.1761489550111799,0.8097013540146323,-2.5687472761271737,0.15024919263586867,0.8101468321473382,0.2422,5.230497638604621e-05,-1.3103607523669216e-05,-4.025767090934558e-05,-0.000488654979003026,8.491143410516253e-05,7.834349701138499e-05,0.0004507058101817854,4.6981152005701784e-05,-0.00013393025059815593,0.0002676623257497606,-7.193461842787315e-05,-3.175508513617725e-05
-2.568269268020729,-0.1806717155405586,0.8093612763578175,-2.568252897366688,0.15243504841446853,0.8099006542263396,-2.5690672532750654,-0.176149000724231,0.8097014055513636,-2.56874736976369,0.15024923244047006,0.8101469322452335,0.2432,-0.00032134316619960093,-5.735785217758513e-05,0.00010483570462353417,-0.00022659510982402098,-1.729276934959485e-05,-6.210002796807126e-05,-0.00032786257045147246,-3.959432140406303e-05,7.927268669478613e-05,-0.0003779139230032768,6.44207722823902e-05,0.00010954904472871424
-2.568269122015834,-0.18067167262828043,0.8093612719386236,-2.5682526873481963,0.15243500996802162,0.8099005610458336,-2.569067122483286,-0.17614894988340257,0.8097013451767747,-2.5687471086159537,0.15024916445666836,0.8101468779536187,0.2442,0.0005203858788183618,2.395543269547839e-05,-6.87673474145268e-05,-0.00010148979327965178,4.5887499904106706e-05,8.919645600475624e-05,0.000477190766837457,3.917888152343049e-05,-8.895645144570835e-05,0.00018295440343908502,-3.5864517472131965e-05,-1.0310611565578914e-05
-2.5682689302069246,-0.1806716918413942,0.8093612974170084,-2.5682527810460476,0.1524350538241226,0.8099006204488459,-2.569067266931585,-0.1761489961036995,0.8097013836683038,-2.568747018423414,0.1502491834236146,0.8101468807525745,0.2454,-2.8498629897386052e-05,-4.766426026479208e-05,7.470136473645105e-05,-0.00037489120222724756,6.413444492433759e-05,8.032676441658247e-05,-0.00035847225132095914,-5.229987442064522e-05,5.58177257963359e-05,-0.0002739688867250019,6.909449021699906e-05,8.43271459232079e-05
-2.568269168285278,-0.18067170896835894,0.809361325167453,-2.568253016411872,0.1524350304768145,0.80990062669738,-2.5690671005664782,-0.1761489406658434,0.809701326093335,-2.5687469620346244,0.15024914976843995,0.8101468618300665,0.246,-0.00014992851294831633,-4.705195933718499e-06,1.8139743999813496e-05,-0.0003165473130891973,8.727812550430843e-06,8.420482110062417e-05,0.0004640166611984721,4.684966505381238e-05,-5.837721388900208e-05,0.0005886094466282937,-0.00013601268761066995,-8.667880757746299e-05
-2.56826936154291,-0.1806716952654961,0.8093613443065228,-2.5682532647392895,0.15243504414074138,0.8099006438567544,-2.569066890143951,-0.17614894479733767,0.8097013174911227,-2.5687467695338606,0.15024917097296875,0.8101468773979468,0.247,4.0696314942882325e-05,5.825082502298833e-05,-4.596094510331446e-05,-0.0003839359987838839,4.95359290471848e-05,2.1717545502801874e-05,0.0001361709350533799,-2.595073605812494e-05,-2.5775725692313983e-05,0.00035445827989308634,-2.5148494200991176e-05,-4.3986888883698616e-05
-2.5682690536009076,-0.18067167453798305,0.8093613215606963,-2.568253474844849,0.15243504254155749,0.8099006274764058,-2.569067214435071,-0.17614899747317914,0.8097013531977835,-2.568746948885864,0.15024921382308598,0.8101469088675719,0.248,0.00026456151573330325,-3.842329707484508e-05,6.211963461819764e-06,-0.00031440124217127323,-1.6759516146259935e-06,7.684234222284786e-06,-0.0002504497404293964,-9.283216021681133e-06,-2.617451423984722e-05,-0.00045249999318053985,1.543083791400704e-05,1.9385365255255096e-05
-2.5682689567288506,-0.1806717080251019,0.8093613873680363,-2.568253745778695,0.15243505762721377,0.8099006404644395,-2.5690671777532152,-0.17614893318928893,0.8097013209653809,-2.568747148518793,0.15024920318395374,0.8101469482626333,0.2492,1.3041908905277524e-05,-7.763809176854198e-06,3.8501355318278085e-05,-0.00024553935058173673,-1.4660412646869472e-05,-2.151492887937992e-05,0.0005079429336296449,0.00010918713591258274,-0.0001013480833742652,-0.00011301518745369249,-1.5277546849267484e-05,4.6304446022790366e-05
-2.5682690862415685,-0.1806716854839907,0.8093614215634188,-2.5682536765839004,0.1524350427672676,0.8099005936179928,-2.569066941616841,-0.17614892086535505,0.8097013263377111,-2.568746841239771,0.1502491658640963,0.8101468935267953,0.2502,2.2446926515803933e-06,5.10882479171301e-05,-4.575088103216628e-05,0.00048532701077111905,-7.009233729219418e-05,-4.0396883801077296e-05,0.000380923442399813,3.7247172257453e-05,2.852196739099727e-05,0.00021846684888052366,2.414290045473595e-06,-1.466955600723345e-05
-2.5682689771637364,-0.18067166571066906,0.8093614101234587,-2.5682534439677065,0.15243503670372505,0.8099005699826636,-2.5690671717544795,-0.17614897605283808,0.8097014278467531,-2.568746860638842,0.15024919966483807,0.8101468870885604,0.2514,-0.0003467324794636864,-8.356692000252716e-05,0.00010907583784553962,0.0004906659512524374,-5.80764513463262e-05,-0.00012008325330151517,-0.00042393480912548444,-2.892684931074638e-06,9.024972957644498e-05,-0.000520740793501737,0.0001325244300525851,0.00010421011519539704
-2.568269236493645,-0.18067167268571627,0.8093614562887428,-2.568253201518937,0.1524350266059855,0.8099004920569843,-2.5690673455285573,-0.17614896267556368,0.8097013865141411,-2.568747117329628,0.15024919967909867,0.810146848225215,0.252,-0.00025540497006567263,1.1428471196532706e-06,8.729009825152699e-05,0.0004976052627000717,-4.208817418018771e-05,-0.00014156894080592786,-0.0003726398967314956,1.575874050679623e-06,-1.070849240448861e-05,-0.00038754053706641263,3.5751606741682115e-05,-6.170089984564725e-06
-2.5682691600178345,-0.18067164985596307,0.8093614524567778,-2.5682529733930783,0.1524350112811108,0.8099004250933017,-2.569067249441887,-0.17614892973250296,0.809701317863488,-2.568747183761946,0.15024916896188412,0.8101468913550613,0.253,0.0005503561739535461,8.84071248408373e-05,-9.926962166663042e-05,0.000459132610717455,-3.494736366985239e-05,-8.352117955114785e-05,0.00024137059365232985,6.236566993736561e-05,-6.517416594864663e-05,-0.00013796207530071374,1.363919936585333e-05,0.00013555919933974647
-2.568268980998627,-0.18067164596506657,0.8093614600485486,-2.5682526975341053,0.15243502327500913,0.8099003782607346,-2.5690673324477036,-0.1761489674402874,0.809701378246583,-2.5687471468040073,0.15024916723963244,0.8101469449109473,0.254,0.0004609825080497728,8.736623372932617e-05,-2.187415884713842e-05,0.0005312352651993552,-1.6227586501765942e-05,-0.00014651334656873988,-0.0004628601049546984,-7.62528527456779e-05,0.00017296180087134592,7.32410743212869e-05,2.2876197042928864e-05,6.147511811642643e-05
-2.5682686731288022,-0.1806716501602157,0.8093614548622918,-2.5682526336880045,0.1524350209502634,0.8099003454329958,-2.569067236415748,-0.17614893166229706,0.8097013514469991,-2.568746902319618,0.15024916390966503,0.8101469398769421,0.2552,0.00032734296235216453,-3.226951046122963e-05,3.5148792599335593e-06,3.506227271679249e-06,-2.1928293153177024e-05,-4.733057993556826e-05,0.0003639301833016882,7.481160626252384e-05,-2.0292180196999562e-05,-5.291643949051003e-05,5.8642633192599995e-05,8.505711098111962e-05
-2.5682689408525956,-0.18067167794036898,0.8093614992333196,-2.568252482757808,0.15243503087474863,0.8099002846195615,-2.5690671562630465,-0.1761489363431874,0.809701422738236,-2.568746603434384,0.15024916967626023,0.8101469137152089,0.2562,-9.02795929843235e-05,6.834994678774135e-05,-6.939720925033983e-05,-3.304290517433875e-05,4.6305737010382477e-05,-1.5524165383279387e-05,-0.00011372964661339642,-4.524609470599243e-05,8.391694015630335e-05,0.0002419403579004345,4.308601725589237e-06,-1.1741823979930302e-05
-2.568269080153712,-0.1806716826026884,0.8093615225453021,-2.5682527044916563,0.15243503985064866,0.8099002707588854,-2.5690673683517993,-0.17614894636053435,0.8097014361598527,-2.568746618796858,0.1502491999737341,0.810147001825019,0.2574,0.00018887282306413733,7.592054936351317e-06,6.413169787384057e-06,-0.00010516064226405789,-6.298067802487607e-05,-6.1015533124375576e-05,-4.997512897905558e-05,1.8264424739859806e-05,-4.222601380567646e-05,-0.0004863643801300329,6.903145419743048e-05,0.00014687344714960256
-2.568268729821569,-0.18067166188946437,0.8093615201810449,-2.5682529423391935,0.15243501127560855,0.8099002687539789,-2.569067174350802,-0.17614892125290016,0.8097014270973517,-2.568746889710006,0.1502491819913283,0.8101470200888317,0.2584,0.00035097468425727626,1.25356597783494e-05,3.2881914114107555e-05,4.740830152199886e-05,-6.212813919993028e-05,-3.2901723921792414e-05,0.0004721129148393694,9.121777994393365e-05,2.644836704705257e-05,-0.0003678081571582819,2.4925547742149403e-05,-1.5084443908346123e-05
-2.568268924828682,-0.18067168637016895,0.8093616022040786,-2.5682532321105738,0.1524350307204143,0.8099002932070665,-2.5690669117066687,-0.17614889857662952,0.8097014995233849,-2.5687468139979277,0.15024917227100953,0.8101469529503165,0.2594,-0.00041174060521547914,1.9198356981988296e-05,6.839824146428683e-05,-0.00022913309303537743,-1.77598725341452e-06,-5.611443277357686e-05,0.00048357256760886425,7.720568658698031e-05,-4.636568729426971e-06,0.00037844069938116655,-1.1544161902544915e-05,-0.0001462156272428721
-2.5682691275041174,-0.1806716762948133,0.8093615638735949,-2.568253361621611,0.152435007843442,0.809900235738013,-2.5690666876368597,-0.17614889471694362,0.8097015095058238,-2.5687466099662313,0.150249168326555,0.81014691713058,0.26,-0.00026971963823211285,7.301630462199567e-06,-5.7519665914645274e-05,-4.1613989552080274e-05,-4.975422233344153e-06,3.2500901047324837e-06,0.0005638387534308634,9.976961817131496e-05,-9.958696352039761e-05,0.00035004967315670557,-2.343312066914444e-05,-5.255839232067884e-05
-2.5682688578245436,-0.18067164293753368,0.8093615011860491,-2.568253177968881,0.15243498806517675,0.8099002235480448,-2.5690664805188117,-0.17614890425719576,0.8097015015499673,-2.5687463485866155,0.15024915563407504,0.8101469737579272,0.2612,-6.561741625200901e-05,-8.977212607171406e-05,5.418715571370303e-05,-7.419976015185167e-05,4.427469608761714e-05,4.440043570512128e-05,0.0003610245788226562,2.607220645673981e-05,-5.954427998337494e-05,0.0002570949336508765,-1.2589704871155663e-05,5.313744062749627e-05
-2.5682686319619314,-0.18067165524549456,0.8093615359991686,-2.568253412084495,0.15243500569319846,0.8099002534990767,-2.5690666822153103,-0.17614896502992305,0.80970155574646,-2.5687464058196445,0.1502491809665667,0.8101470858364381,0.2622,0.0001542880256607381,1.1343707656206992e-06,2.232572744154636e-05,4.6831313071133904e-05,-3.6853332358612685e-05,-2.5702033236098612e-05,-0.0004355781831449773,-2.3034918898627446e-05,6.505546454456043e-05,-0.0005406193633157395,0.0001161309417372922,0.0001666816302311868
-2.5682688500095203,-0.18067170054786796,0.8093615426639813,-2.568253709497826,0.15243501898843625,0.8099002866177214,-2.5690668729727912,-0.17614896039150452,0.8097015851247198,-2.5687466299711135,0.1502491785320279,0.8101471306200061,0.2632,-0.0002803450742071209,-2.002379787588703e-05,-2.6519617565223808e-05,-0.00020159082383144032,-2.1491077967143864e-05,-1.5588274909841826e-06,-0.00026608756463585015,4.611937748645893e-06,7.875318363049534e-05,-0.00044371235004053364,6.177809994915975e-05,0.00011825001426216813
