rtf,sim_time,wall_time
,0.0002,110004.84732385
0.8633304536922766,0.0004,110004.847555511
1.2653503706913747,0.0006,110004.84771357
1.1266018046422845,0.0008,110004.847891095
0.5885365090338301,0.001,110004.848230921
0.8759443510559812,0.0012,110004.848459246
0.766110337629582,0.0014,110004.848720305
1.1755854554406189,0.0016,110004.848890433
0.8171970965022932,0.0018,110004.849135172
0.8128759578275988,0.002,110004.849381212
0.8134743816476323,0.0022,110004.849627071
0.7665772531973625,0.0024,110004.849887971
0.8078196970323924,0.0026,110004.850135551
0.8194940996869935,0.0028,110004.850379604
0.8423429193594545,0.003,110004.850617037
0.6563531590459829,0.0032,110004.850921751
0.7571254896687433,0.0034,110004.851185908
1.1690505914408418,0.0036,110004.851356987
0.8369706684854763,0.0038,110004.851595944
0.8181063448249264,0.004,110004.851840411
0.9430581326757843,0.0042,110004.852052487
0.8388698624979064,0.0044,110004.852290903
0.8286102379360585,0.0046,110004.852532271
0.8222906693529309,0.0048,110004.852775494
0.7936319184742585,0.005,110004.8530275
0.8152484018749656,0.0052,110004.853272824
0.858844557024928,0.0054,110004.853505695
0.8403255740520831,0.0056,110004.853743698
0.8438284382049658,0.0058,110004.853980713
0.6740838367354964,0.006,110004.854277412
1.0744312227212645,0.0062,110004.854463557
0.8450228028286859,0.0064,110004.854700237
0.8623440430828945,0.0066,110004.854932163
0.7500159127041175,0.0068,110004.855198824
0.9606748251861189,0.007,110004.855407011
0.8304164921584424,0.0072,110004.855647854
0.8476659403023777,0.0074,110004.855883796
0.7926945207630837,0.0076,110004.8561361
0.9079023878067448,0.0078,110004.856356388
0.8502172510418573,0.008,110004.856591622
0.8370967861061362,0.0082,110004.856830543
0.9238643250274033,0.0084,110004.857047025
0.8476731550710339,0.0086,110004.857282965
0.8561020814327234,0.0088,110004.857516582
0.852209762960608,0.009,110004.857751266
0.846328001964109,0.0092,110004.857987581
0.8632074762476415,0.0094,110004.858219275
0.8615379577119747,0.0096,110004.858451418
0.8611632676983768,0.0098,110004.858683662
0.8121365314013371,0.01,110004.858929926
0.8802119587029914,0.0102,110004.859157144
0.8973479032820774,0.0104,110004.859380023
0.8647751295222054,0.0106,110004.859611297
0.01869053547525804,0.0108,110004.8703119
0.2588577886031099,0.011,110004.871084525
20.800824755349375,0.0112,110004.87109414
23.917734040568636,0.0114,110004.871102502
24.860170150203885,0.0116,110004.871110547
25.329280102615392,0.0118,110004.871118443
25.88328580721106,0.012,110004.87112617
26.80245199684085,0.0122,110004.871133632
27.348531969610576,0.0124,110004.871140945
27.472570890126942,0.0126,110004.871148225
27.181294418536652,0.0128,110004.871155583
