rtf,sim_time,wall_time
,0.1944,107324.907497162
0.9011810090130847,0.1946,107324.907719093
1.4109447136445565,0.1948,107324.907860842
0.9758715170728682,0.195,107324.908065787
0.9939024191555319,0.1952,107324.908267014
0.972062905000602,0.1954,107324.908472762
1.0234786286295003,0.1956,107324.908668174
1.7099571732590713,0.1958,107324.908785136
0.809742825582129,0.196,107324.909032128
1.1389651056853465,0.1962,107324.909207726
1.0123916791729974,0.1964,107324.909405278
0.9845814366731721,0.1966,107324.90960841
1.0007806168056836,0.1968,107324.909808254
0.9286947892149762,0.197,107324.91002361
0.7205519639514967,0.1972,107324.910301175
1.1741568156461,0.1974,107324.91047151
0.7839694005012898,0.1976,107324.910726622
1.0389286244553138,0.1978,107324.910919128
1.4194262255451153,0.198,107324.91106003
0.9972476326941888,0.1982,107324.911260582
1.013715530049909,0.1984,107324.911457876
1.0008707690932186,0.1986,107324.911657702
0.99091824495971,0.1988,107324.911859535
0.7036629070213485,0.199,107324.912143762
1.3302206231061087,0.1992,107324.912294113
0.9701250419951012,0.1994,107324.912500272
1.3325249326485535,0.1996,107324.912650363
0.9905697208264684,0.1998,107324.912852267
0.9567593114677911,0.2,107324.913061306
0.96242220680096,0.2002,107324.913269115
1.0230021939336635,0.2004,107324.913464618
0.9948071415305173,0.2006,107324.913665662
0.9841551072339384,0.2008,107324.913868882
0.9332449342659874,0.201,107324.914083188
0.702141212237769,0.2012,107324.914368031
1.6447097535717297,0.2014,107324.914489633
1.0100602106885521,0.2016,107324.914687641
0.9897070366517283,0.2018,107324.914889721
1.0810284625698434,0.202,107324.91507473
0.9872301516634162,0.2022,107324.915277317
0.9971432287154764,0.2024,107324.91547789
0.950692307461407,0.2026,107324.915688263
1.0217739992668502,0.2028,107324.915884001
1.056049853800863,0.203,107324.916073386
0.9815854444852916,0.2032,107324.916277138
0.9871084087424394,0.2034,107324.91647975
0.9812772213650462,0.2036,107324.916683566
0.9825547552681102,0.2038,107324.916887117
1.0715643717101802,0.204,107324.91707376
0.9877226765792593,0.2042,107324.917276246
0.946624566017503,0.2044,107324.917487523
1.0257725331490646,0.2046,107324.917682498
0.9806084589967761,0.2048,107324.917886453
1.071776871824015,0.205,107324.918073059
0.970026171087579,0.2052,107324.918279239
0.9963633148761418,0.2054,107324.918479969
0.9829845500029534,0.2056,107324.918683431
0.9764147125163831,0.2058,107324.918888262
1.0752109990290237,0.206,107324.919074272
0.9901284185013354,0.2062,107324.919276266
0.9856974771575489,0.2064,107324.919479168
0.9828734813366604,0.2066,107324.919682653
0.9751673383433831,0.2068,107324.919887746
1.0693414837940691,0.207,107324.920074777
0.9837290764300035,0.2072,107324.920278085
0.953379719882946,0.2074,107324.920487865
1.0159091330365013,0.2076,107324.920684733
0.980767165514953,0.2078,107324.920888655
1.0919474891291832,0.208,107324.921071814
0.9849984643109415,0.2082,107324.92127486
0.9815228450896342,0.2084,107324.921478625
0.9812338557958202,0.2086,107324.92168245
0.9811087546491584,0.2088,107324.921886301
0.7499315675248832,0.209,107324.922152992
1.5427932906390769,0.2092,107324.922282627
0.9930388018705162,0.2094,107324.922484029
0.8047285980144174,0.2096,107324.92273256
0.9819468965303793,0.2098,107324.922936237
0.9678340159910997,0.21,107324.923142884
0.9802816210774987,0.2102,107324.923346907
0.983569480345199,0.2104,107324.923550248
0.9775410194598856,0.2106,107324.923754843
0.9822796198582149,0.2108,107324.923958451
0.9754622495719292,0.211,107324.924163482
0.9789094369540124,0.2112,107324.924367791
0.876608579884588,0.2114,107324.924595943
