ros_time,wall_elapsed,x,y,z,qx,qy,qz,qw,vx,vy,vz,wz
1.838,0.8544898250038386,0.021227170631207822,0.00731200408537309,0.037509255364321564,0.0018015264977662823,-0.005493857569713295,0.001088067127371919,0.9999826939208541,0.0,0.0,0.0,0.0
1.932,1.4334465250067296,0.0066313974901482855,0.006540240581112966,0.03780491717055107,0.0009839049174195735,-0.00848884817462349,0.0016181138456942612,0.9999621758323481,0.0,0.0,0.0,0.0
2.036,2.0359262710044277,-0.000254402651701637,0.008753090052689238,0.041685401961671295,0.0005934025607198289,-0.016026941528776643,0.0018913999622923372,0.9998695953097173,0.0,0.0,0.0,0.0
2.132,2.6448906250006985,-0.011866947324867073,0.009265195234690571,0.045016383871337114,0.00011385451094363435,-0.02431824561984414,0.0018092633985111765,0.999702624050312,0.0,0.0,0.0,0.0
2.234,3.2500398580014007,-0.02698352159033429,0.009800919470589914,0.04930215413430553,-0.00033720168947196344,-0.031584638018572544,0.0012624905737000898,0.9995002266401992,0.0,0.0,0.0,0.0
2.33,3.8461648680022336,-0.037777305997002616,0.01095186190537788,0.05556970669601247,-0.0003209885320960539,-0.03573482535503539,0.0018378358787482316,0.9993595657132082,0.0,0.0,0.0,0.0
2.43,4.42720756700146,-0.04902956439188396,0.01317940904971568,0.06310426150955592,-0.0007154757960166584,-0.0378990000265138,0.001859138495098105,0.9992795892518932,0.0,0.0,0.0,0.0
2.5300000000000002,5.020848305000982,-0.05650257533633777,0.016971254420894578,0.07548068489010036,-0.00075099030658728,-0.0400343344985827,0.002101285589602602,0.9991958129784605,0.0,0.0,0.0,0.0
2.632,5.5883202140030335,-0.061261711457621354,0.017759631370429397,0.08752245832114044,-0.0005617276106407798,-0.04142007583096464,0.0021339081798010906,0.9991393837779234,0.0,0.0,0.0,0.0
2.732,6.169919047002622,-0.06846495972132345,0.018150397717118717,0.09701171059800405,-0.00024446233123987665,-0.04214170239288389,0.002177365757718888,0.9991092413925287,0.0,0.0,0.0,0.0
2.83,6.732458352002141,-0.07284951883578784,0.017582298250860686,0.10572275191338622,-0.000558738991801246,-0.04307174585754302,0.002462020057936103,0.9990687919141279,0.0,0.0,0.0,0.0
2.932,7.353802952005935,-0.07720812119320704,0.019237172480240525,0.11556949459655301,-0.0005923196711603584,-0.04403622490401106,0.0018663641361157922,0.9990280159928051,0.0,0.0,0.0,0.0
3.03,7.93051053200179,-0.07770509413937102,0.0173686129661719,0.12207245638170633,-0.0008842092290521647,-0.045892385281293184,0.0005179135184144749,0.998945863854903,0.0,0.0,0.0,0.0
3.132,8.510483309000847,-0.08059196454396396,0.01944909290657964,0.13044588512509578,-0.00042128723615807254,-0.049246894802312965,0.0005916169450832358,0.9987863714823021,0.0,0.0,0.0,0.0
3.234,9.079591717003495,-0.08677777936158826,0.01941862212289852,0.13470117359906927,-0.00048288799720511225,-0.05033430609958368,0.000694969621881336,0.9987320669057727,0.0,0.0,0.0,0.0
3.334,9.69541738400585,-0.08984044165086401,0.018833621910884182,0.14024556728609017,-0.0005333243667956746,-0.05284283953913212,0.0007784152079636693,0.998602395322744,0.0,0.0,0.0,0.0
3.43,10.284558889004984,-0.09339669361166263,0.018140129046222246,0.14327018407736183,-0.0010201138253504273,-0.052907452353997124,0.0010778458230624427,0.9985983171934399,0.0,0.0,0.0,0.0
3.536,10.903170465004223,-0.09769324135439222,0.017609757465297218,0.14631768841062817,-0.0007837851349338525,-0.05321769567937792,0.0009222711527286319,0.9985822009045404,0.0,0.0,0.0,0.0
3.63,11.500091012007033,-0.09988588941435053,0.01601438286900335,0.14993886836470377,-0.0004314989989984337,-0.05474976774877993,0.0007250651672750469,0.9984997501354562,0.0,0.0,0.0,0.0
