rtf,sim_time,wall_time
,0.002,107793.37617826
0.5408337615307588,0.004,107793.379876254
0.28207690387438594,0.006,107793.386966519
0.25487960647119917,0.008,107793.394813361
1.1771644181119088,0.01,107793.396512359
0.2298555462322087,0.012,107793.405213476
0.02604703785062143,0.014,107793.481997639
10.536241871761062,0.016,107793.48218746
18.16843892765735,0.018,107793.482297541
0.2689056832801735,0.02,107793.489735093
14.902907907807277,0.022,107793.489869295
20.5632268640616,0.024,107793.489966556
8.488135324041844,0.026,107793.490202179
20.534304378259606,0.028,107793.490299577
24.50499820401099,0.03,107793.490381193
25.665374575026064,0.032,107793.490459119
24.706913884855652,0.034,107793.490540068
24.51791592417221,0.036,107793.490621641
26.25360855617427,0.038,107793.490697821
25.799463484208054,0.04,107793.490775342
27.571752194181748,0.042,107793.49084788
20.066219242634563,0.044,107793.49094755
16.889895021326375,0.046,107793.491065964
23.27313330862183,0.048,107793.4911519
25.96290123122594,0.05,107793.491228933
25.039120000859842,0.052,107793.491308808
26.05218503788725,0.054,107793.491385577
26.002728088363053,0.056,107793.491462492
27.31083831081658,0.058,107793.491535723
12.84901178735655,0.06,107793.491691377
23.254460362974726,0.062,107793.491777382
24.684961433405437,0.064,107793.491858403
27.00987260652564,0.066,107793.49193245
0.07406391906288484,0.068,107793.518936152
14.878738384232934,0.07,107793.519070572
38.471160957296284,0.072,107793.519122559
42.049485459560294,0.074,107793.519170122
46.885618031450896,0.076,107793.519212779
0.2906464314982469,0.078,107793.526093992
20.304980870417236,0.08,107793.52619249
38.68696212764152,0.082,107793.526244187
40.39424467918459,0.084,107793.526293699
45.4493893756611,0.086,107793.526337704
0.1690621075956989,0.088,107793.538167676
23.232580878446413,0.09,107793.538253762
41.267741667494924,0.092,107793.538302226
45.733104002342614,0.094,107793.538345958
44.59805903252241,0.096,107793.538390803
30.588055271683626,0.098,107793.538456188
30.4113156162764,0.1,107793.538521953
31.359761649393455,0.102,107793.538585729
43.766548228594104,0.104,107793.538631426
47.15645620924949,0.106,107793.538673838
0.6995866506407987,0.108,107793.541532669
42.92858429296612,0.11,107793.541579258
49.74011585800367,0.112,107793.541619467
0.5359524966835644,0.114,107793.545351141
25.8264476322695,0.116,107793.545428581
43.47825990479225,0.118,107793.545474581
46.58094907101755,0.12,107793.545517517
0.09611817155633948,0.122,107793.566325237
1.6321241126786517,0.124,107793.567550634
33.10272048725729,0.126,107793.567611052
39.98320642272966,0.128,107793.567661073
0.45309051929055694,0.13,107793.572075202
31.549223147720106,0.132,107793.572138595
44.543437140901496,0.134,107793.572183495
43.75984547409783,0.136,107793.572229199
46.312370784839636,0.138,107793.572272384
41.03826449338979,0.14,107793.572321119
40.272248058307945,0.142,107793.572370781
39.578876132206695,0.144,107793.572421313
46.16378307827855,0.146,107793.572464637
51.671576759042644,0.148,107793.572503343
0.18722011191949328,0.15,107793.583185956
0.4057253522156236,0.152,107793.588115399
26.52097901287719,0.154,107793.588190811
5.077740318599601,0.156,107793.588584687
36.944674088452345,0.158,107793.588638822
48.01805353927966,0.16,107793.588680473
2.708555343287865,0.162,107793.589418874
37.764355516305955,0.164,107793.589471834
47.36642970818629,0.166,107793.589514058
0.302499645025717,0.168,107793.596125636
0.1495080288718129,0.17,107793.609502844
0.9638075819246765,0.172,107793.611577947
0.11897875304897182,0.174,107793.628387671
22.388391288334365,0.176,107793.628477003
40.69839061039763,0.178,107793.628526145
45.97066386773303,0.18,107793.628569651
