phase,sim_time,rel_to_rl_switch,cmd_vx,cmd_vy,cmd_yaw,base_x,base_y,base_z,tilt_deg,base_vx,base_vy,base_wx,base_wy,base_wz,imu_wx,imu_wy,imu_wz,rtf,base_qw,base_qx,base_qy,base_qz,base_vz,imu_qw,imu_qx,imu_qy,imu_qz,kd_FL_calf,kd_FL_hip,kd_FL_thigh,kd_FR_calf,kd_FR_hip,kd_FR_thigh,kd_RL_calf,kd_RL_hip,kd_RL_thigh,kd_RR_calf,kd_RR_hip,kd_RR_thigh,kp_FL_calf,kp_FL_hip,kp_FL_thigh,kp_FR_calf,kp_FR_hip,kp_FR_thigh,kp_RL_calf,kp_RL_hip,kp_RL_thigh,kp_RR_calf,kp_RR_hip,kp_RR_thigh,mode_FL_calf,mode_FL_hip,mode_FL_thigh,mode_FR_calf,mode_FR_hip,mode_FR_thigh,mode_RL_calf,mode_RL_hip,mode_RL_thigh,mode_RR_calf,mode_RR_hip,mode_RR_thigh,pos_FL_calf_joint,pos_FL_hip_joint,pos_FL_thigh_joint,pos_FR_calf_joint,pos_FR_hip_joint,pos_FR_thigh_joint,pos_RL_calf_joint,pos_RL_hip_joint,pos_RL_thigh_joint,pos_RR_calf_joint,pos_RR_hip_joint,pos_RR_thigh_joint,target_FL_calf,target_FL_hip,target_FL_thigh,target_FR_calf,target_FR_hip,target_FR_thigh,target_RL_calf,target_RL_hip,target_RL_thigh,target_RR_calf,target_RR_hip,target_RR_thigh,vel_FL_calf_joint,vel_FL_hip_joint,vel_FL_thigh_joint,vel_FR_calf_joint,vel_FR_hip_joint,vel_FR_thigh_joint,vel_RL_calf_joint,vel_RL_hip_joint,vel_RL_thigh_joint,vel_RR_calf_joint,vel_RR_hip_joint,vel_RR_thigh_joint
fixedstand_hold,115.357,,0.0,0.0,0.0,0.016303134728776356,-0.008357548080117107,0.26881652245947696,0.19073461797842467,0.014424761736083496,-0.0008761558804503002,0.002964804348830993,0.009806150005261267,-0.004029509174086357,-0.0005044163240202709,0.004047403267747689,-0.004457274036635721,14.190639379970092,0.999995743359277,-0.0007461215389199705,-0.0014878750814918892,0.0023964126769342006,0.07910496266965034,0.9999956800195764,-0.0007484256322025625,-0.0015094383733938324,0.0024086089460969664,6.434538841247559,4.595454216003418,4.601281642913818,6.4178876876831055,4.598373889923096,4.592521667480469,6.426248550415039,4.601281642913818,4.601281642913818,6.422077178955078,4.595454216003418,4.601281642913818,126.99440002441406,85.75323486328125,85.88643646240234,126.61141967773438,85.81997680664062,85.68620300292969,126.8037109375,85.88643646240234,85.88643646240234,126.70777893066406,85.75323486328125,85.88643646240234,10,10,10,10,10,10,10,10,10,10,10,10,-1.6515908175368015,0.19814537684150135,0.7813002240733997,-1.6501178942589831,-0.19608062567107698,0.7856330157706424,-1.658064768113693,0.20028276648324717,0.7996241427184092,-1.6545805944055232,-0.20018545007816435,0.8020802714745257,-1.5951368808746338,0.10597201436758041,0.7825658917427063,-1.5997813940048218,-0.1055683046579361,0.7845792174339294,-1.597458839416504,0.105672687292099,0.7914707064628601,-1.5986177921295166,-0.10650309920310974,0.7913641929626465,0.601488259795961,-0.06711338050147546,-0.26321002613402583,0.5969385343354562,0.0663578101986213,-0.2671994458812734,0.6654660210206778,-0.0769682342785882,-0.30046624269525396,0.6510833909283994,0.07211626602414874,-0.29963061467450314
fixedstand_hold,115.412,,0.0,0.0,0.0,0.017016669707145833,-0.00844694020027031,0.27279180687359406,0.18418022795723057,0.012389029022691178,-0.0024284501675286884,0.004615674877971876,-0.0023036541868227136,-0.008966963060980564,0.0013030697843290989,-0.005238429391082962,-0.008765065652441168,21.17835930455068,0.9999961985897144,-0.0006962440132299706,-0.0014486466847146934,0.0022404180808825035,0.07730329590460193,0.9999962044370779,-0.0006955751523078991,-0.0014514376175267523,0.002236205600529241,6.513593673706055,4.656865119934082,4.662153244018555,6.509807109832764,4.6461405754089355,4.656865119934082,6.502181529998779,4.659515380859375,4.659515380859375,6.517362117767334,4.662153244018555,4.654202461242676,128.81265258789062,87.15691375732422,87.27779388427734,128.72555541992188,86.91178131103516,87.15691375732422,128.5501708984375,87.21749877929688,87.21749877929688,128.89932250976562,87.27779388427734,87.09605407714844,10,10,10,10,10,10,10,10,10,10,10,10,-1.6314883573257344,0.19482896664747518,0.7732344719151794,-1.6299833665195296,-0.19300111997929736,0.7771840011098163,-1.6369136709793928,0.1978497925378262,0.7908691822252454,-1.6336461554879014,-0.19771644502764918,0.793079956495526,-1.5722869634628296,0.09691943228244781,0.7713366150856018,-1.5734143257141113,-0.09855767339468002,0.7727586627006531,-1.575676679611206,0.09700540453195572,0.7800139784812927,-1.571161150932312,-0.09659183770418167,0.7809920907020569,0.5645736302546567,-0.11275747086281057,-0.23676653406491427,0.5901626363826914,0.08764846956106292,-0.26225850198684764,0.6245822574198682,-0.061823596315943766,-0.27301690508069604,0.6217018182837577,0.08024925657267035,-0.28270980779850147
fixedstand_hold,115.412,,0.0,0.0,0.0,0.017016669707145833,-0.00844694020027031,0.27279180687359406,0.18418022795723057,0.012389029022691178,-0.0024284501675286884,0.004615674877971876,-0.0023036541868227136,-0.008966963060980564,0.0013030697843290989,-0.005238429391082962,-0.008765065652441168,21.17835930455068,0.9999961985897144,-0.0006962440132299706,-0.0014486466847146934,0.0022404180808825035,0.07730329590460193,0.9999962044370779,-0.0006955751523078991,-0.0014514376175267523,0.002236205600529241,6.513593673706055,4.656865119934082,4.662153244018555,6.509807109832764,4.6461405754089355,4.656865119934082,6.502181529998779,4.659515380859375,4.659515380859375,6.517362117767334,4.662153244018555,4.654202461242676,128.81265258789062,87.15691375732422,87.27779388427734,128.72555541992188,86.91178131103516,87.15691375732422,128.5501708984375,87.21749877929688,87.21749877929688,128.89932250976562,87.27779388427734,87.09605407714844,10,10,10,10,10,10,10,10,10,10,10,10,-1.6314883573257344,0.19482896664747518,0.7732344719151794,-1.6299833665195296,-0.19300111997929736,0.7771840011098163,-1.6369136709793928,0.1978497925378262,0.7908691822252454,-1.6336461554879014,-0.19771644502764918,0.793079956495526,-1.5722869634628296,0.09691943228244781,0.7713366150856018,-1.5734143257141113,-0.09855767339468002,0.7727586627006531,-1.575676679611206,0.09700540453195572,0.7800139784812927,-1.571161150932312,-0.09659183770418167,0.7809920907020569,0.5645736302546567,-0.11275747086281057,-0.23676653406491427,0.5901626363826914,0.08764846956106292,-0.26225850198684764,0.6245822574198682,-0.061823596315943766,-0.27301690508069604,0.6217018182837577,0.08024925657267035,-0.28270980779850147
fixedstand_hold,115.417,,0.0,0.0,0.0,0.017155563124666318,-0.008477422561486567,0.2737437820326902,0.18413051146284623,0.01132696950730712,-0.0027161517556245044,0.003570656124204096,-0.003971245796509648,-0.009727494426395379,0.0026370592175488827,0.0012290372629362315,-0.008769394000810225,0.15815770340066512,0.9999963140803787,-0.0006731088244442623,-0.001459062364850605,0.0021885810888747233,0.08060916618954382,0.9999962742583922,-0.0006822805330845083,-0.0014561945350193657,0.002205778793264924,6.528563976287842,4.6647796630859375,4.67258358001709,6.521113395690918,4.67258358001709,4.662153244018555,6.532262802124023,4.67258358001709,4.667392730712891,6.535943984985352,4.6751604080200195,4.669994831085205,129.15696716308594,87.33781433105469,87.51620483398438,128.98561096191406,87.51620483398438,87.27779388427734,129.24203491210938,87.51620483398438,87.39755249023438,129.3267059326172,87.57510375976562,87.45702362060547,10,10,10,10,10,10,10,10,10,10,10,10,-1.623932569130507,0.1935569485190589,0.7701438424211577,-1.6224663259486363,-0.19174507381188022,0.77392997802996,-1.6290351499778666,0.1969832726365235,0.7875627226715629,-1.625872893695889,-0.19679806642692377,0.7896428949866303,-1.5677937269210815,0.09570641815662384,0.7693321108818054,-1.5700371265411377,-0.09451081603765488,0.7717486023902893,-1.5666770935058594,0.09497929364442825,0.7784047722816467,-1.5655570030212402,-0.09456884115934372,0.7777736783027649,0.6136425231600191,-0.08186563524215357,-0.27015245828240697,0.6065926192328265,0.08193951647086682,-0.2791470348812901,0.6673573300244697,-0.07442713905747916,-0.30298453441589585,0.6492816411993216,0.07289537174534343,-0.3056899891485151
fixedstand_hold,115.44,,0.0,0.0,0.0,0.01718912323141952,-0.008485822938859093,0.27398617599503156,0.1849754816256082,0.011200834536455862,-0.0028518061027286434,0.0017703589952354224,-0.007662713683225078,-0.009713665480230544,0.0014463812812402284,-0.004739860806614435,-0.009875382180668964,13.582156313453755,0.9999963333834815,-0.0006706283234545595,-0.0014683144674898794,0.002174288359351825,0.08107921044226066,0.99999632792888,-0.0006716137408070648,-0.0014645047295095536,0.002179057052095338,6.539608478546143,4.677725791931152,4.682818412780762,6.543254852294922,4.680278301239014,4.662153244018555,6.561225891113281,4.690365791320801,4.677725791931152,6.543254852294922,4.687862396240234,4.685346603393555,129.41099548339844,87.63373565673828,87.75013732910156,129.49485778808594,87.69207763671875,87.27779388427734,129.908203125,87.92265319824219,87.63373565673828,129.49485778808594,87.86543273925781,87.80792999267578,10,10,10,10,10,10,10,10,10,10,10,10,-1.6183125017730529,0.1922080398895334,0.7678967755882624,-1.6168532413788785,-0.19046798752233673,0.7715338852819915,-1.6230152758680747,0.1963134987089239,0.7850596762329864,-1.6199422007347204,-0.19610615560084188,0.7870387831628554,-1.5644409656524658,0.09369640797376633,0.7673394083976746,-1.5633268356323242,-0.0933082103729248,0.7717486023902893,-1.5577828884124756,0.09216777235269547,0.7762699723243713,-1.5633267164230347,-0.09256070852279663,0.7745835185050964,0.546864803603677,-0.20470659209605774,-0.2158999725712618,0.55067306221442,0.18728700025184955,-0.2332370268835428,0.6296030071234252,-0.06797736700999077,-0.2654694974218522,0.6304666257251066,0.06830893304092889,-0.27904619346321946
fixedstand_hold,115.458,,0.0,0.0,0.0,0.017550778556224122,-0.008605984382120686,0.2768911131662952,0.22847709142665726,0.007233415648427167,-0.0035580723238609617,0.0033681562107015974,-0.0195321752974987,-0.011001210697779328,0.0038403542538658995,-0.017982420534862244,-0.009416793129809854,15.687014453604737,0.999996051645276,-0.0006114427847739969,-0.0018977685410878908,0.0019802288110258685,0.07348515061293559,0.9999963376152633,-0.0006633949830532076,-0.0014953552516969346,0.0021560556180982592,6.578760623931885,4.6978044509887695,4.69285774230957,6.585653305053711,4.705132484436035,4.705132484436035,6.582216262817383,4.705132484436035,4.705132484436035,6.571799278259277,4.690365791320801,4.705132484436035,130.31149291992188,88.09266662597656,87.9796142578125,130.47003173828125,88.26016998291016,88.26016998291016,130.39096069335938,88.26016998291016,88.26016998291016,130.1513671875,87.92265319824219,88.26016998291016,10,10,10,10,10,10,10,10,10,10,10,10,-1.606820488123219,0.18801390508200644,0.7637101472078438,-1.6053881957327558,-0.18646215563849466,0.7669709828031763,-1.610524294946777,0.19499467088672962,0.7802685804027707,-1.60772503712165,-0.19470235139515868,0.782023263819247,-1.5522767305374146,0.09051152318716049,0.765358567237854,-1.5500869750976562,-0.0893387496471405,0.7632825374603271,-1.5511832237243652,0.08978158980607986,0.7704652547836304,-1.5544730424880981,-0.09216093271970749,0.7703748345375061,0.545414081977971,-0.15189725219713515,-0.2251707134171267,0.5538210999250202,0.12473029613756544,-0.244361317342829,0.5933310077326679,-0.05922956293032479,-0.2544844552322706,0.5833113146699139,0.06719830154564832,-0.26342078481987014
fixedstand_hold,115.484,,0.0,0.0,0.0,0.01769744287125597,-0.0087032065560972,0.2788777984584816,0.25736146394875725,0.0037275864808950844,-0.0036151727914712586,0.0027554066976677597,-0.018207860093114186,-0.011479566670668491,-0.0017565943936318986,-0.020429884947519693,-0.012150430884072335,11.3641530566202,0.9999958007627349,-0.0005683556598782836,-0.0021727957125736927,0.0018314987119933586,0.07546120083251456,0.9999958440111031,-0.0005755305204008233,-0.002125972315183469,0.0018603673983804752,6.5992302894592285,4.731069087982178,4.728771686553955,6.6158127784729,4.72180700302124,4.724140167236328,6.605915069580078,4.731069087982178,4.72180700302124,6.609231472015381,4.728771686553955,4.733354091644287,130.78228759765625,88.8530044555664,88.80049896240234,131.1636962890625,88.64130401611328,88.69464111328125,130.93603515625,88.8530044555664,88.64130401611328,131.0123291015625,88.80049896240234,88.90524291992188,10,10,10,10,10,10,10,10,10,10,10,10,-1.5943534509422967,0.18440608927058388,0.7586742402341482,-1.5929647968473404,-0.1829893711721935,0.7615388155428189,-1.5974037683104978,0.19365884321318116,0.774808466293516,-1.5949397368747302,-0.19321632675638778,0.776329513899582,-1.5457284450531006,0.08503248542547226,0.7580392360687256,-1.5403194427490234,-0.08659657090902328,0.7593745589256287,-1.5435618162155151,0.0854649767279625,0.7668225765228271,-1.5424777269363403,-0.08584786206483841,0.7641600370407104,0.5344338533958609,-0.1835200120526657,-0.23123787360261447,0.5275405047687447,0.17798877551010905,-0.24360011112528407,0.6109032937825107,-0.060101594561371194,-0.2766227022625341,0.594854578454493,0.06699865919801778,-0.2835738736844162
fixedstand_hold,115.51,,0.0,0.0,0.0,0.017721099277360257,-0.008728317184471035,0.2794086739961378,0.2642343566795893,0.003280613135402415,-0.003592702829376243,0.005442761327003595,-0.02394662698310572,-0.011750598013396757,0.0011141586418201425,-0.03253450053049117,-0.014898258066565693,13.876168536220291,0.9999957385632999,-0.0005531918933533018,-0.002238537642107687,0.0017904701043439213,0.07620581835755043,0.9999954359418586,-0.0005339603924337024,-0.002439707882811763,0.0017002373946414504,6.638305187225342,4.751204490661621,4.749014854431152,6.644577503204346,4.744600296020508,4.751204490661621,6.644577503204346,4.746813774108887,4.753381729125977,6.638305187225342,4.746813774108887,4.744600296020508,131.68101501464844,89.31324005126953,89.26319885253906,131.82528686523438,89.16229248046875,89.31324005126953,131.82528686523438,89.21288299560547,89.36300659179688,131.68101501464844,89.21288299560547,89.16229248046875,10,10,10,10,10,10,10,10,10,10,10,10,-1.5828683504580638,0.18069576726476821,0.7538526701376451,-1.5816825304416193,-0.17933106897441764,0.7563996731731049,-1.5853082361897552,0.19238741151810768,0.7695874702589425,-1.5832781218196716,-0.19171118837409828,0.7709277739771005,-1.532821536064148,0.08157569169998169,0.7537322640419006,-1.5306953191757202,-0.08273281157016754,0.7536073923110962,-1.5306974649429321,0.08275818079710007,0.7596608996391296,-1.5328214168548584,-0.0827520340681076,0.7616062760353088,0.5131293788713354,-0.23798500815692908,-0.21588285495178733,0.502154225365959,0.23155700765786894,-0.23055122378400855,0.6095222713643571,-0.0708732473544431,-0.2718214623583668,0.5389909488097271,0.1430110371526501,-0.25357053249696065
fixedstand_hold,115.517,,0.0,0.0,0.0,0.017766786347886747,-0.008800220715068936,0.2810831464104204,0.2992080712680132,0.0009763820012434555,-0.0028620861737331505,0.0035140618954851597,-0.029642045922343527,-0.018743519664292118,0.004443883825959601,-0.02993960213037955,-0.019009666697797762,10.454782983304103,0.9999952605690102,-0.00051140317708668,-0.00256050887696231,0.001631288018353378,0.07657888476987659,0.9999953012019475,-0.0005154355587639935,-0.0025317365847089468,0.001649912142223623,6.641449928283691,4.766195774078369,4.761971950531006,6.647687911987305,4.746813774108887,4.755547523498535,6.665994167327881,4.751204490661621,4.764090061187744,6.647687911987305,4.751204490661621,4.751204490661621,131.75335693359375,89.6559066772461,89.55935668945312,131.89682006835938,89.21288299560547,89.41250610351562,132.31787109375,89.31324005126953,89.60777282714844,131.89682006835938,89.31324005126953,89.31324005126953,10,10,10,10,10,10,10,10,10,10,10,10,-1.581999817043358,0.18034196534799474,0.7534979895547078,-1.5807989636294844,-0.17903452194812086,0.7559947848738151,-1.584396351127216,0.19227699783219965,0.7692029257209452,-1.5824331801684242,-0.191548680340361,0.7705370693070668,-1.5317574739456177,0.07892347872257233,0.750897228717804,-1.529634952545166,-0.0823499783873558,0.7526574730873108,-1.523313283920288,0.08199059963226318,0.7571439743041992,-1.529634952545166,-0.0819845125079155,0.7600842714309692,0.5473511919436951,-0.21281897378500528,-0.2332052728511338,0.55632323681315,0.17922353111950634,-0.26193268794777114,0.6034719677813888,-0.06615927496392637,-0.26751873143488475,0.5812514533913646,0.10657725280162204,-0.2775973218614011
fixedstand_hold,115.536,,0.0,0.0,0.0,0.01776986612479751,-0.008827192698246798,0.28185487647453045,0.3162611925745007,-8.971927578963382e-05,-0.0026468381354936717,-0.006509905510367756,-0.03209243205804696,-0.018705961201704032,0.004443883825959601,-0.02993960213037955,-0.019009666697797762,12.78036806258562,0.9999950024472376,-0.0004998371397885069,-0.002714256627237068,0.0015420941425865673,0.07808493779599719,0.9999953012019475,-0.0005154355587639935,-0.0025317365847089468,0.001649912142223623,6.680783271789551,4.776548385620117,4.774501800537109,6.677859306335449,4.776548385620117,4.776548385620117,6.677859306335449,4.776548385620117,4.776548385620117,6.671960353851318,4.768290042877197,4.753381729125977,132.65802001953125,89.89253234863281,89.84574890136719,132.59075927734375,89.89253234863281,89.89253234863281,132.59075927734375,89.89253234863281,89.89253234863281,132.45509338378906,89.70376586914062,89.36300659179688,10,10,10,10,10,10,10,10,10,10,10,10,-1.5719752020974873,0.17706288274770277,0.7492565701406022,-1.5708420825341287,-0.17580329158397845,0.7512853004270923,-1.5741404866208395,0.19105157935277628,0.7647806435673399,-1.5726443592760067,-0.19001369759252107,0.7658493515225837,-1.518092155456543,0.07704891264438629,0.7480916976928711,-1.519132137298584,-0.0770588219165802,0.7479572892189026,-1.5191341638565063,0.0774407908320427,0.754152774810791,-1.521217942237854,-0.07894083857536316,0.7595786452293396,0.5830258702422335,-0.20779212129507976,-0.25777957310758964,0.5710507176287248,0.20913851529238472,-0.27793681216878696,0.6134392224661875,-0.10389502072087552,-0.2783501584972601,0.6050880477138535,0.10532513701398415,-0.3002723236511028
