sim_time_s,x,y,z,qx,qy,qz,qw
42.206,30.8862909309983,-128.53419917530726,8.931798899666228,-0.22956617562897272,-0.15086892101097948,0.5158352289700747,0.8114505260540825
42.206,30.8862909309983,-128.53419917530726,8.931798899666228,-0.22956617562897272,-0.15086892101097948,0.5158352289700747,0.8114505260540825
42.304,31.449990079708225,-129.70136226795304,9.31574398229536,-0.2263421587676328,-0.15242696968081662,0.5165834434737923,0.8115890536515853
42.304,31.449990079708225,-129.70136226795304,9.31574398229536,-0.2263421587676328,-0.15242696968081662,0.5165834434737923,0.8115890536515853
42.404,32.03512513965831,-130.88985849579413,9.710923195088935,-0.2315907281961784,-0.1540963524252404,0.5215873531386995,0.8065771394160335
42.404,32.03512513965831,-130.88985849579413,9.710923195088935,-0.2315907281961784,-0.1540963524252404,0.5215873531386995,0.8065771394160335
42.506,32.62751530535063,-132.11320925506234,10.124689792622702,-0.2346868048790774,-0.15216346770757685,0.522349844574406,0.8055551021400917
42.506,32.62751530535063,-132.11320925506234,10.124689792622702,-0.2346868048790774,-0.15216346770757685,0.522349844574406,0.8055551021400917
42.604,33.22445527573245,-133.2808641896203,10.54766833486139,-0.23813518883574966,-0.15085129837045438,0.5306214727046868,0.799359975432097
42.604,33.22445527573245,-133.2808641896203,10.54766833486139,-0.23813518883574966,-0.15085129837045438,0.5306214727046868,0.799359975432097
42.706,33.83387905448586,-134.4938590315797,10.983450742311717,-0.23641784494779397,-0.151615644732381,0.5297921876150431,0.8002746633529481
42.706,33.83387905448586,-134.4938590315797,10.983450742311717,-0.23641784494779397,-0.151615644732381,0.5297921876150431,0.8002746633529481
42.806,34.44921584113343,-135.676034812705,11.439469258969476,-0.24419038733288173,-0.14688974445298886,0.5390741155054761,0.7925866234681999
42.806,34.44921584113343,-135.676034812705,11.439469258969476,-0.24419038733288173,-0.14688974445298886,0.5390741155054761,0.7925866234681999
42.906,35.06657384217277,-136.84877847229717,11.882996772285443,-0.24604048162755315,-0.1448529726052455,0.5401898467825309,0.7916290969645765
42.906,35.06657384217277,-136.84877847229717,11.882996772285443,-0.24604048162755315,-0.1448529726052455,0.5401898467825309,0.7916290969645765
43.004,35.68122718843344,-137.9915399635957,12.32168726952528,-0.25367153564353523,-0.1476610431104283,0.5450860006847161,0.7853204570169506
43.004,35.68122718843344,-137.9915399635957,12.32168726952528,-0.25367153564353523,-0.1476610431104283,0.5450860006847161,0.7853204570169506
43.106,36.32171750490508,-139.1629225987427,12.797620069849888,-0.2549908059297315,-0.14774482713735868,0.5476168127082294,0.7831136452550912
43.106,36.32171750490508,-139.1629225987427,12.797620069849888,-0.2549908059297315,-0.14774482713735868,0.5476168127082294,0.7831136452550912
43.206,36.97583604706939,-140.312117032198,13.2854391278388,-0.25789068444213076,-0.14782022934223882,0.5519685536749409,0.779084264010736
43.206,36.97583604706939,-140.312117032198,13.2854391278388,-0.25789068444213076,-0.14782022934223882,0.5519685536749409,0.779084264010736
43.306,37.60532131179077,-141.44591420798176,13.759768221184974,-0.2584089599571252,-0.14430779142198957,0.5493268120505954,0.7814346577360722
43.306,37.60532131179077,-141.44591420798176,13.759768221184974,-0.2584089599571252,-0.14430779142198957,0.5493268120505954,0.7814346577360722
43.406,38.26078000351246,-142.56088572354142,14.258334175776449,-0.25882883270326873,-0.14499459393431172,0.5529596327842178,0.7786012121763026
43.406,38.26078000351246,-142.56088572354142,14.258334175776449,-0.25882883270326873,-0.14499459393431172,0.5529596327842178,0.7786012121763026
43.504,38.913512532714954,-143.65000524026306,14.759925851777783,-0.26026331528307584,-0.14442577640440754,0.552925324029018,0.7782530358920728
43.504,38.913512532714954,-143.65000524026306,14.759925851777783,-0.26026331528307584,-0.14442577640440754,0.552925324029018,0.7782530358920728
43.606,39.579870399688616,-144.79113777353604,15.276551478980076,-0.26505816498567836,-0.14558524929091993,0.5535968851118673,0.7759378797028402
