sim_time_s,x,y,z,qx,qy,qz,qw
45.704,3482.434687847032,-8657.503052535916,-596.5572285492457,0.11119563885176915,0.1612750289324782,-0.5049758389615158,-0.84061007429622
45.704,3482.434687847032,-8657.503052535916,-596.5572285492457,0.11119563885176915,0.1612750289324782,-0.5049758389615158,-0.84061007429622
45.804,3496.553283211605,-8695.511213925432,-600.0590951799874,0.09690979652019344,0.14177693292276136,-0.5296164079838632,-0.8306709655595936
45.804,3496.553283211605,-8695.511213925432,-600.0590951799874,0.09690979652019344,0.14177693292276136,-0.5296164079838632,-0.8306709655595936
45.904,3510.665803137367,-8733.606474820821,-603.5708316360596,0.08324263218455569,0.12258898294427438,-0.5529538073997436,-0.8199296874304596
45.904,3510.665803137367,-8733.606474820821,-603.5708316360596,0.08324263218455569,0.12258898294427438,-0.5529538073997436,-0.8199296874304596
46.004,3524.7766166854044,-8771.78994412434,-607.0908400419651,0.06906386684327065,0.10346114629942686,-0.5755082014668205,-0.8082798299769073
46.004,3524.7766166854044,-8771.78994412434,-607.0908400419651,0.06906386684327065,0.10346114629942686,-0.5755082014668205,-0.8082798299769073
46.104,3538.882182443033,-8810.061476810006,-610.6179842529235,0.054084143399110045,0.084056328652683,-0.5983275127005093,-0.7949928468809304
46.104,3538.882182443033,-8810.061476810006,-610.6179842529235,0.054084143399110045,0.084056328652683,-0.5983275127005093,-0.7949928468809304
46.206,3553.276972840613,-8849.193316983821,-614.2208781065979,0.03837284858764604,0.06322185424835107,-0.62086952466542,-0.780417551685258
46.206,3553.276972840613,-8849.193316983821,-614.2208781065979,0.03837284858764604,0.06322185424835107,-0.62086952466542,-0.780417551685258
46.304,3567.110950884128,-8886.882730747106,-617.6866520974035,0.0254031300318813,0.045694972524921024,-0.6397281187421611,-0.7668210903210424
46.304,3567.110950884128,-8886.882730747106,-617.6866520974035,0.0254031300318813,0.045694972524921024,-0.6397281187421611,-0.7668210903210424
46.406,3581.5091139622123,-8926.205954950568,-621.295699636988,0.011654119831616664,0.027161331169058115,-0.6587673633322341,-0.7517659240670447
46.406,3581.5091139622123,-8926.205954950568,-621.295699636988,0.011654119831616664,0.027161331169058115,-0.6587673633322341,-0.7517659240670447
46.504,3595.3403963065534,-8964.080768400265,-624.7629154371198,-0.00291055975608019,0.007881060794923176,-0.6780201117714753,-0.7349953370981712
46.504,3595.3403963065534,-8964.080768400265,-624.7629154371198,-0.00291055975608019,0.007881060794923176,-0.6780201117714753,-0.7349953370981712
