sim_time_s,x,y,z,qx,qy,qz,qw
45.73,-0.2790978613646099,1.932002237920156,0.12032401534411856,-0.014374687534996542,0.021870864913464443,0.5336687758531774,0.8452885136481978
45.78,-0.2791156369739519,1.931992437005529,0.12031700676956503,-0.014482658898464172,0.021889636405586693,0.5336322779889635,0.8453092264358479
45.83,-0.27912990159050477,1.931990890837818,0.12031558188806728,-0.014381714383541437,0.021814878914090643,0.5336854068409116,0.8452793407355965
45.88,-0.2792180653162737,1.9319979275830474,0.1203009253414789,-0.014395293654294743,0.02186136334897042,0.5336789093983647,0.8452820109149981
45.932,-0.2791848713189151,1.9319942837076272,0.12030727257559214,-0.014406310397527015,0.021803343653519214,0.5337218724576652,0.8452561950595455
45.98,-0.2792664489216248,1.9319940266516487,0.12027484778993594,-0.014487187773696331,0.021812302678947952,0.5337110708656643,0.8452614019802854
46.032,-0.27924567057252936,1.931986585524254,0.1202780893570936,-0.014325020164378975,0.021913583522641212,0.5337400318515432,0.8452432590997695
46.082,-0.2792987090899712,1.9319822586128694,0.12031989040700622,-0.014358070921335493,0.02183565671844763,0.5337499211570836,0.8452384702318625
46.13,-0.27936615858390756,1.9319380801569943,0.12036440746459864,-0.014308185164312665,0.021853348686605753,0.5336959797198076,0.8452729193694779
46.182,-0.2793572083402003,1.931917729027198,0.12037420011266425,-0.014301257506587794,0.021755713290941756,0.5337387131053041,0.8452485723771598
46.23,-0.2794467991726883,1.931927268248895,0.12035154821212647,-0.014318424237238633,0.021804494877233956,0.5337157028293165,0.8452615543628612
46.28,-0.27940656131580777,1.9319312426594497,0.12034514884100962,-0.014337630210882215,0.0217654699680714,0.5337641160562132,0.8452316635619697
46.33,-0.2794707302974439,1.9319412438466446,0.12033671612702564,-0.014371751341987869,0.021841321990746444,0.5337938193784937,0.8452103689676203
46.38,-0.27946812872680477,1.931928871752192,0.12031733180866398,-0.014581818833426744,0.021774015209003045,0.533784928119831,0.8452141227720312
46.43,-0.2794991773290068,1.9319328077421647,0.12032440244146012,-0.014380264453117726,0.02180345340228321,0.5338113908539893,0.8452001043590343
