sim_time_s,x,y,z,qx,qy,qz,qw
18.104,-0.002616994637151994,0.02648389549598246,-0.00177290128548325,-0.0005140667167462109,-0.001442407586284523,0.0014244428431988677,0.9999978130767772
18.104,-0.002616994637151994,0.02648389549598246,-0.00177290128548325,-0.0005140667167462109,-0.001442407586284523,0.0014244428431988677,0.9999978130767772
18.204,-0.003517912788831287,0.028723140463733747,-0.0006913600243731683,-0.0004220142981808391,-0.0012699305592321396,0.001371654364305448,0.9999981638706127
18.204,-0.003517912788831287,0.028723140463733747,-0.0006913600243731683,-0.0004220142981808391,-0.0012699305592321396,0.001371654364305448,0.9999981638706127
18.304,-0.0052874978469751475,0.02988234635286306,-0.0018248971591530146,-0.0004446188220398639,-0.0013309106126166885,0.0016541196524762422,0.9999976474368347
18.304,-0.0052874978469751475,0.02988234635286306,-0.0018248971591530146,-0.0004446188220398639,-0.0013309106126166885,0.0016541196524762422,0.9999976474368347
18.404,-0.0043247997474233895,0.028690598053497912,-0.0024238877753190026,-0.0004357494437453934,-0.0018222473415362233,0.0016419104098144637,0.999996896828805
18.404,-0.0043247997474233895,0.028690598053497912,-0.0024238877753190026,-0.0004357494437453934,-0.0018222473415362233,0.0016419104098144637,0.999996896828805
18.506,-0.004533015496576864,0.026306873198694944,-0.0027971225459276394,-0.0005918338748849036,-0.0011721075323430858,0.0017232210221182842,0.9999976532001916
18.506,-0.004533015496576864,0.026306873198694944,-0.0027971225459276394,-0.0005918338748849036,-0.0011721075323430858,0.0017232210221182842,0.9999976532001916
18.602,-0.0025840171209917336,0.02174069013788154,-0.003216500626206515,-0.0008759891307792483,-0.0017557107268201906,0.0017274864819316082,0.9999965829508247
18.602,-0.0025840171209917336,0.02174069013788154,-0.003216500626206515,-0.0008759891307792483,-0.0017557107268201906,0.0017274864819316082,0.9999965829508247
18.704,-0.0023367545293554617,0.013591879691501997,-0.004572035450335102,-0.001081209082026157,-0.001855185067021034,0.0017970047799694725,0.9999960800168626
18.704,-0.0023367545293554617,0.013591879691501997,-0.004572035450335102,-0.001081209082026157,-0.001855185067021034,0.0017970047799694725,0.9999960800168626
18.804,-0.001363361359145466,0.010398976446053386,-0.0058992779126721875,-0.0011367579637981237,-0.0020845566137142916,0.0019008626794541723,0.999995374552359
18.804,-0.001363361359145466,0.010398976446053386,-0.0058992779126721875,-0.0011367579637981237,-0.0020845566137142916,0.0019008626794541723,0.999995374552359
18.904,-0.0018076589091689202,0.012421173699144888,-0.005313105756046606,-0.0010227282139625717,-0.001711359285640886,0.0018572871550152452,0.9999962878735119
18.904,-0.0018076589091689202,0.012421173699144888,-0.005313105756046606,-0.0010227282139625717,-0.001711359285640886,0.0018572871550152452,0.9999962878735119
19.004,-0.002728249900292767,0.014964603927686912,-0.004241172636260365,-0.0011142846656160962,-0.0017272218400112046,0.0017849475624832011,0.999996294511426
19.004,-0.002728249900292767,0.014964603927686912,-0.004241172636260365,-0.0011142846656160962,-0.0017272218400112046,0.0017849475624832011,0.999996294511426
19.104,-0.0031725768793306307,0.019290363955432512,-0.00396959658005205,-0.0009302562160878677,-0.0018569476215480694,0.0020794805184788114,0.999995681055504
19.104,-0.0031725768793306307,0.019290363955432512,-0.00396959658005205,-0.0009302562160878677,-0.0018569476215480694,0.0020794805184788114,0.999995681055504
19.204,-0.0027970781280594356,0.025127838332483006,-0.002617562464240488,-0.0006899930509036101,-0.0012025841768798597,0.001969805901370889,0.9999970987785817
