trial_id,command_vx,trial_result,invalid_reasons,steady_mean_vx,steady_median_vx,absolute_tracking_error,tracking_ratio,lateral_drift_ratio,yaw_drift_deg,stop_time_to_0_05,tail_speed_mean,truth_samples,timing_rows
vx_000_run_01,0.0,INVALID,FALL_DETECTED;GAIT_NOT_ADVANCING;WAVE_ALL_NOT_REACHED,-0.004377132218588884,-0.0028228046353176717,0.004377132218588884,,1.4684948130668491,6.523525973677551,0.06800000000000495,0.06340083367477244,1353,47335
vx_010_run_01,0.1,INVALID,FALL_DETECTED;GAIT_NOT_ADVANCING;WAVE_ALL_NOT_REACHED,-0.00729993000874257,-0.00538687130407612,0.10729993000874258,-0.0729993000874257,1.5195133679306152,3.1997198898007944,0.010000000000005116,0.05817050994115112,1759,48050
vx_030_run_01,0.3,INVALID,FALL_DETECTED;GAIT_NOT_ADVANCING;WAVE_ALL_NOT_REACHED,-0.0036707438112236544,-0.0037211828118301933,0.30367074381122366,-0.012235812704078848,2.192502137324286,16.040863594372794,0.03399999999999892,0.0816770683685487,1970,52234
vx_050_run_01,0.5,INVALID,FALL_DETECTED;GAIT_NOT_ADVANCING;WAVE_ALL_NOT_REACHED,-0.018764010094799933,-0.015482742141399759,0.5187640100947999,-0.037528020189599866,0.05369211386379169,-7.932496066766013,0.026000000000003354,0.0760035013000826,1756,50138
