wall_elapsed,sim_time,sim_elapsed,rtf_delta,phase,gzserver_cpu,junior_ctrl_cpu,fastlio_cpu,scan_adapter_cpu,junior_ctrl_threads
1.5755946720018983,,,,startup,,,,,
4.753055166002014,,,,startup,,,,,
7.952804517000914,,,,startup,,,,,
11.167758630996104,,,,startup,,,,,
16.774723980997805,,,,startup,255.9,,,,
22.37732748199778,,,,startup,223.59999999999997,,,,
27.460146559998975,,,,startup,118.59999999999978,,,,
32.534740774004604,,,,startup,81.69999999999996,25.1,,,14.0
37.62593353400007,,,,startup,66.09999999999994,18.0,,,14.0
39.83391862199642,0.491,0.0,,startup,66.20000000000005,23.400000000000006,,,14.0
42.0512101159984,2.669,2.178,0.9822795089827966,startup,74.70000000000009,34.9,,,15.0
48.271704961996875,8.84,8.349,0.9920432622767442,startup,75.5000000000001,39.4,,,15.0
54.42832379000902,14.922,14.431000000000001,0.9878799012742787,startup,79.60000000000005,41.9,,,15.0
60.61935880300007,21.05,20.559,0.9898183400903434,sample,80.90000000000003,42.5,,,15.0
66.83528456700151,27.195,26.704,0.9885896700356049,sample,81.10000000000001,43.900000000000006,,,15.0
73.09220934500627,33.372,32.881,0.9872261884487212,sample,83.60000000000002,45.30000000000001,,,15.0
79.30949827400036,39.555,39.064,0.9944849066231763,sample,83.59999999999998,46.800000000000004,,,15.0
85.57419458200457,45.753,45.262,0.9893536247050015,sample,84.89999999999996,47.50000000000001,,,15.0
