ros_time,wall_elapsed,x,y,z,qx,qy,qz,qw,vx,vy,vz,wz
0.38,62.4919924220012,0.002253844606896638,2.2999493421736243,0.09361170504066053,-0.00898146823103743,-0.008534289207869007,0.7058676919051615,0.7082353427079244,0.019137854564647692,-0.017648946061126068,-0.017724080557772345,-0.04019769038746371
0.4,62.51192429900402,0.0025232459785763583,2.299980477743613,0.09326031511400643,-0.009292307999879568,-0.008588585508352724,0.7058246055940184,0.7082736161604847,0.00894421870174998,0.0020068277438667933,-0.013582886784711916,0.0019748376319906435
0.422,63.04609105399868,0.0026497433092665537,2.299994571368693,0.09309065022549684,-0.0094291691313963,-0.00865331679600804,0.7058214499668115,0.7082741641798516,0.0039425621057650245,0.0001979621468148278,-0.004784566820882232,-0.0009894607359340814
0.442,63.344323869998334,0.002707533255602356,2.2999974174140116,0.09301912330384578,-0.009491530499115757,-0.008679741002079267,0.7058159902363299,0.7082784486850002,0.0022382515432198603,0.00010856594864297693,-0.002924661959717069,-0.00035665052794642103
0.462,63.364006144001905,0.002739262391219039,2.299999281964591,0.09296885138575389,-0.009536330010222943,-0.008685160835872802,0.7058163209110065,0.7082774509518444,0.0010771145916084156,7.158005253641158e-05,-0.002227444321854499,0.0002103404345875562
0.484,63.38592989400058,0.0027502079096899403,2.3000004165003216,0.09292810496813171,-0.009585595659851587,-0.00867060488169709,0.7058184254597244,0.708274867017309,6.401587317199497e-05,2.5852875688902897e-05,-0.0015758690492418987,0.0002901328911617193
0.504,63.406177329001366,0.002744948761056875,2.3000007352887204,0.0929011715421242,-0.009626615060220022,-0.008642614824080656,0.7058219621040969,0.7082711283844683,-0.00045628259914982016,1.0346249671769291e-05,-0.001221292756865607,0.0006617642489309283
0.524,63.87545113800297,0.002734090638218574,2.3000010036708254,0.09287903139504607,-0.009656640638714744,-0.008607979087167409,0.7058277183411934,0.7082654050628723,-0.0005524031965109396,3.25886950472007e-06,-0.0010493218571733037,0.0007284733477420373
0.544,64.171188858003,0.0027250612767261095,2.300001228674837,0.09285950877089695,-0.009677967878018574,-0.008572116759483188,0.7058322866239355,0.7082609963221472,-0.0003378991340379878,2.2833716907649902e-06,-0.0009387403452390554,0.000431838538486582
0.566,64.19300014900364,0.002721485481206776,2.3000013371897374,0.09284018594282202,-0.009697916787269141,-0.008536789211947964,0.7058343741308557,0.7082590697867847,-2.447963184363031e-05,-2.313638134829007e-06,-0.0008491899047210621,3.77626922750527e-05
0.586,64.21323797399964,0.0027231015354446057,2.3000013758196935,0.09282410309718563,-0.009716881667113167,-0.008510914282565703,0.7058341372694367,0.7082593573076549,0.00014196221443415753,-1.7034819893471781e-06,-0.0007847375644674527,-0.0001517097437201598
0.606,64.2331266609981,0.002726301953672411,2.300001454659623,0.09280925570655615,-0.009736934501443688,-0.008490712007312044,0.7058331435807591,0.708260314671821,0.00015520632945127227,-1.5081615875708362e-07,-0.0007248930078338602,-0.00016998046013688305
0.626,64.70815346000018,0.0027286463814085865,2.300001557451919,0.09279554854504338,-0.009756430323308694,-0.008474330765368932,0.7058324578335369,0.7082609259687379,7.888275063422995e-05,7.260534429232568e-07,-0.0006698180984619972,-7.973762471951527e-05
