%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1784885379039614677,0.0,0.0,0.0,0.0,0.0,0.0
1784885379089676618,0.0,0.0,0.0,0.0,0.0,0.0
1784885379139779090,0.0,0.0,0.0,0.0,0.0,0.0
1784885379189985513,0.0,0.0,0.0,0.0,0.0,0.0
1784885379240105628,0.0,0.0,0.0,0.0,0.0,0.0
1784885379290215492,0.0,0.0,0.0,0.0,0.0,0.0
1784885379340355157,0.012000000104308128,0.0,0.0,0.0,0.0,0.0
1784885379390579938,0.035999998450279236,0.0,0.0,0.0,0.0,0.0
1784885379414448976,0.0,0.0,0.0,0.0,0.0,0.0
