%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1784885379413703918,8798,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,8799,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,8800,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,8801,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,8802,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,8803,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,8804,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,8805,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,8806,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885532579073191,8807,1784885532579073191,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885532579073191,8808,1784885532579073191,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885532629367590,8809,1784885532629367590,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885532629367590,8810,1784885532629367590,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885532629367590,8811,1784885532629367590,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885532679569006,8812,1784885532679569006,vehicle,0.012000000104308128,0.0,0.0,0.0,0.0,0.0
1784885532679569006,8813,1784885532679569006,vehicle,0.023999998345971107,0.0,0.0,0.0,0.0,0.0
1784885532729798317,8814,1784885532729798317,vehicle,0.035999998450279236,0.0,0.0,0.0,0.0,0.0
1784885532729798317,8815,1784885532729798317,vehicle,0.04800000041723251,0.0,0.0,0.0,0.0,0.0
1784885532729798317,8816,1784885532729798317,vehicle,0.06000000238418579,0.0,0.0,0.0,0.0,0.0
1784885532780032873,8817,1784885532780032873,vehicle,0.07199999690055847,0.0,0.0,0.0,0.0,0.0
1784885532780032873,8818,1784885532780032873,vehicle,0.08399999141693115,0.0,0.0,0.0,0.0,0.0
1784885532830281973,8819,1784885532830281973,vehicle,0.09599998593330383,0.0,0.0,0.0,0.0,0.0
1784885532830281973,8820,1784885532830281973,vehicle,0.10799998044967651,0.0,0.0,0.0,0.0,0.0
1784885532830281973,8821,1784885532830281973,vehicle,0.1199999749660492,0.0,0.0,0.0,0.0,0.0
1784885532880511284,8822,1784885532880511284,vehicle,0.13199996948242188,0.0,0.0,0.0,0.0,0.0
1784885532880511284,8823,1784885532880511284,vehicle,0.14399996399879456,0.0,0.0,0.0,0.0,0.0
1784885532930687666,8824,1784885532930687666,vehicle,0.15599995851516724,0.0,0.0,0.0,0.0,0.0
1784885532930687666,8825,1784885532930687666,vehicle,0.16799995303153992,0.0,0.0,0.0,0.0,0.0
1784885532930687666,8826,1784885532930687666,vehicle,0.1799999475479126,0.0,0.0,0.0,0.0,0.0
1784885532980862379,8827,1784885532980862379,vehicle,0.19199994206428528,0.0,0.0,0.0,0.0,0.0
1784885532980862379,8828,1784885532980862379,vehicle,0.20399993658065796,0.0,0.0,0.0,0.0,0.0
1784885533031112671,8829,1784885533031112671,vehicle,0.21599993109703064,0.0,0.0,0.0,0.0,0.0
1784885533031112671,8830,1784885533031112671,vehicle,0.22799992561340332,0.0,0.0,0.0,0.0,0.0
1784885533031112671,8831,1784885533031112671,vehicle,0.239999920129776,0.0,0.0,0.0,0.0,0.0
1784885533081344604,8832,1784885533081344604,vehicle,0.2519999146461487,0.0,0.0,0.0,0.0,0.0
1784885533081344604,8833,1784885533081344604,vehicle,0.26399993896484375,0.0,0.0,0.0,0.0,0.0
1784885533131547928,8834,1784885533131547928,vehicle,0.2759999632835388,0.0,0.0,0.0,0.0,0.0
1784885533131547928,8835,1784885533131547928,vehicle,0.2879999876022339,0.0,0.0,0.0,0.0,0.0
1784885533131547928,8836,1784885533131547928,vehicle,0.30000001192092896,0.0,0.0,0.0,0.0,0.0
1784885533181831360,8837,1784885533181831360,vehicle,0.312000036239624,0.0,0.0,0.0,0.0,0.0
1784885533181831360,8838,1784885533181831360,vehicle,0.3240000605583191,0.0,0.0,0.0,0.0,0.0
1784885533232101917,8839,1784885533232101917,vehicle,0.33600008487701416,0.0,0.0,0.0,0.0,0.0
1784885533232101917,8840,1784885533232101917,vehicle,0.34800010919570923,0.0,0.0,0.0,0.0,0.0
1784885533232101917,8841,1784885533232101917,vehicle,0.3600001335144043,0.0,0.0,0.0,0.0,0.0
1784885533282380104,8842,1784885533282380104,vehicle,0.37200015783309937,0.0,0.0,0.0,0.0,0.0
1784885533282380104,8843,1784885533282380104,vehicle,0.38400018215179443,0.0,0.0,0.0,0.0,0.0
1784885533332553625,8844,1784885533332553625,vehicle,0.3960002064704895,0.0,0.0,0.0,0.0,0.0
1784885533332553625,8845,1784885533332553625,vehicle,0.40800023078918457,0.0,0.0,0.0,0.0,0.0
1784885533332553625,8846,1784885533332553625,vehicle,0.42000025510787964,0.0,0.0,0.0,0.0,0.0
1784885533382740021,8847,1784885533382740021,vehicle,0.4320002794265747,0.0,0.0,0.0,0.0,0.0
1784885533382740021,8848,1784885533382740021,vehicle,0.4440003037452698,0.0,0.0,0.0,0.0,0.0
1784885533432928562,8849,1784885533432928562,vehicle,0.45600032806396484,0.0,0.0,0.0,0.0,0.0
1784885533432928562,8850,1784885533432928562,vehicle,0.4680003523826599,0.0,0.0,0.0,0.0,0.0
1784885533432928562,8851,1784885533432928562,vehicle,0.480000376701355,0.0,0.0,0.0,0.0,0.0
1784885533483160257,8852,1784885533483160257,vehicle,0.49200040102005005,0.0,0.0,0.0,0.0,0.0
1784885533483160257,8853,1784885533483160257,vehicle,0.5040004253387451,0.0,0.0,0.0,0.0,0.0
1784885533533407927,8854,1784885533533407927,vehicle,0.5160003900527954,0.0,0.0,0.0,0.0,0.0
1784885533533407927,8855,1784885533533407927,vehicle,0.5280003547668457,0.0,0.0,0.0,0.0,0.0
1784885533533407927,8856,1784885533533407927,vehicle,0.540000319480896,0.0,0.0,0.0,0.0,0.0
1784885533583634377,8857,1784885533583634377,vehicle,0.5520002841949463,0.0,0.0,0.0,0.0,0.0
1784885533583634377,8858,1784885533583634377,vehicle,0.5640002489089966,0.0,0.0,0.0,0.0,0.0
1784885533633849621,8859,1784885533633849621,vehicle,0.5760002136230469,0.0,0.0,0.0,0.0,0.0
1784885533633849621,8860,1784885533633849621,vehicle,0.5880001783370972,0.0,0.0,0.0,0.0,0.0
1784885533633849621,8861,1784885533633849621,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.0
1784885533684157610,8862,1784885533684157610,vehicle,0.6120001077651978,0.0,0.0,0.0,0.0,0.0
1784885533684157610,8863,1784885533684157610,vehicle,0.624000072479248,0.0,0.0,0.0,0.0,0.0
1784885533734440088,8864,1784885533734440088,vehicle,0.6360000371932983,0.0,0.0,0.0,0.0,0.0
1784885533734440088,8865,1784885533734440088,vehicle,0.6480000019073486,0.0,0.0,0.0,0.0,0.0
1784885533734440088,8866,1784885533734440088,vehicle,0.6599999666213989,0.0,0.0,0.0,0.0,0.0
1784885533784674883,8867,1784885533784674883,vehicle,0.6719999313354492,0.0,0.0,0.0,0.0,0.0
1784885533784674883,8868,1784885533784674883,vehicle,0.6839998960494995,0.0,0.0,0.0,0.0,0.0
1784885533834995270,8869,1784885533834995270,vehicle,0.6959998607635498,0.0,0.0,0.0,0.0,0.0
1784885533834995270,8870,1784885533834995270,vehicle,0.7079998254776001,0.0,0.0,0.0,0.0,0.0
1784885533834995270,8871,1784885533834995270,vehicle,0.7199997901916504,0.0,0.0,0.0,0.0,0.0
1784885533885376930,8872,1784885533885376930,vehicle,0.7319997549057007,0.0,0.0,0.0,0.0,0.0
1784885533885376930,8873,1784885533885376930,vehicle,0.743999719619751,0.0,0.0,0.0,0.0,0.0
1784885533885376930,8874,1784885533885376930,vehicle,0.7559996843338013,0.0,0.0,0.0,0.0,0.0
1784885533935626745,8875,1784885533935626745,vehicle,0.7679996490478516,0.0,0.0,0.0,0.0,0.0
1784885533935626745,8876,1784885533935626745,vehicle,0.7799996137619019,0.0,0.0,0.0,0.0,0.0
1784885533985850811,8877,1784885533985850811,vehicle,0.7919995784759521,0.0,0.0,0.0,0.0,0.0
1784885533985850811,8878,1784885533985850811,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885533985850811,8879,1784885533985850811,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534036105394,8880,1784885534036105394,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534036105394,8881,1784885534036105394,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534086368561,8882,1784885534086368561,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534086368561,8883,1784885534086368561,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534086368561,8884,1784885534086368561,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534136615753,8885,1784885534136615753,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534136615753,8886,1784885534136615753,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534186889887,8887,1784885534186889887,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534186889887,8888,1784885534186889887,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534186889887,8889,1784885534186889887,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534237221718,8890,1784885534237221718,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534237221718,8891,1784885534237221718,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534287494183,8892,1784885534287494183,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534287494183,8893,1784885534287494183,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534287494183,8894,1784885534287494183,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534337762117,8895,1784885534337762117,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534337762117,8896,1784885534337762117,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534388110638,8897,1784885534388110638,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534388110638,8898,1784885534388110638,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534388110638,8899,1784885534388110638,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534438455105,8900,1784885534438455105,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534438455105,8901,1784885534438455105,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534489045143,8902,1784885534489045143,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534489045143,8903,1784885534489045143,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534489045143,8904,1784885534489045143,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534539342642,8905,1784885534539342642,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534539342642,8906,1784885534539342642,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534589746475,8907,1784885534589746475,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534589746475,8908,1784885534589746475,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534589746475,8909,1784885534589746475,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534640054703,8910,1784885534640054703,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534640054703,8911,1784885534640054703,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534690369368,8912,1784885534690369368,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534690369368,8913,1784885534690369368,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534690369368,8914,1784885534690369368,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534740617990,8915,1784885534740617990,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534740617990,8916,1784885534740617990,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534790841818,8917,1784885534790841818,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534790841818,8918,1784885534790841818,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534790841818,8919,1784885534790841818,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534841139317,8920,1784885534841139317,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534841139317,8921,1784885534841139317,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534891350508,8922,1784885534891350508,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534891350508,8923,1784885534891350508,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534891350508,8924,1784885534891350508,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534941581249,8925,1784885534941581249,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534941581249,8926,1784885534941581249,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534991806269,8927,1784885534991806269,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534991806269,8928,1784885534991806269,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885534991806269,8929,1784885534991806269,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535042010069,8930,1784885535042010069,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535042010069,8931,1784885535042010069,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535092413664,8932,1784885535092413664,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535092413664,8933,1784885535092413664,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535092413664,8934,1784885535092413664,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535142656326,8935,1784885535142656326,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535142656326,8936,1784885535142656326,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535192937613,8937,1784885535192937613,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535192937613,8938,1784885535192937613,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535192937613,8939,1784885535192937613,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535243266582,8940,1784885535243266582,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
1784885535243266582,8941,1784885535243266582,vehicle,0.8039995431900024,0.0,0.0,0.0,0.0,0.0
