%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1784885379413703918,3136,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3137,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3138,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3139,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3140,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3141,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3142,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3143,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3144,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3145,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3146,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3147,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3148,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3149,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3150,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3151,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3152,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3153,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3154,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3155,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3156,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3157,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3158,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3159,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3160,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885379413703918,3161,1784885379413703918,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
