wall_elapsed,sim_time,sim_elapsed,rtf_delta,phase,gzserver_cpu,junior_ctrl_cpu,fastlio_cpu,scan_adapter_cpu,junior_ctrl_threads
1.4418571139976848,,,,startup,,,,,
3.20938866600045,,,,startup,,,,,
8.322785903990734,,,,startup,179.60000000000002,,,,
13.417657768994104,,,,startup,138.40000000000003,,,,
18.501745405985275,,,,startup,118.00000000000006,,,,
23.58255652798107,,,,startup,95.39999999999995,,,,
28.6642765699944,,,,startup,80.09999999999998,51.0,,,14.0
33.74495299399132,,,,startup,68.50000000000004,19.4,,,14.0
36.83638112098561,0.001,0.0,,startup,65.60000000000004,18.7,,,14.0
39.23745967299328,0.411,0.41,0.17075659588778394,startup,67.00000000000003,18.0,,,14.0
41.52900991597562,0.812,0.811,0.17499070824566273,startup,70.80000000000001,19.2,,,14.0
43.70897463799338,1.21,1.209,0.18257176181806023,sample,74.49999999999999,19.8,,,14.0
46.04166046198225,1.6179999999999999,1.617,0.17490567988376773,sample,78.19999999999997,20.6,,,14.0
48.39127464700141,2.012,2.011,0.16768710476472828,sample,83.39999999999995,20.800000000000004,,,15.0
54.642864272987936,3.027,3.0260000000000002,0.1623587056611748,sample,86.49999999999994,21.600000000000005,,,15.0
60.96312106298865,4.035,4.034,0.1594871907095228,sample,91.09999999999994,22.000000000000007,,,15.0
67.77401666998048,5.014,5.013,0.1437402738921724,sample,94.49999999999991,22.600000000000005,,,15.0
