rtf,sim_time,wall_time
,0.002,107486.97551763
0.6774606469557899,0.004,107486.978469831
0.6932327308593664,0.006,107486.981354865
0.3730836558870684,0.008,107486.986715593
0.6685137684751965,0.01,107486.989707304
0.5119322446853326,0.012,107486.993614071
0.18339563455552874,0.014,107487.004519456
15.080112442493192,0.016,107487.004652081
0.20730890340598554,0.018,107487.01429952
0.4071380248405027,0.02,107487.019211859
11.806236863228024,0.022,107487.019381261
15.428526947479085,0.024,107487.019510891
21.418091922712247,0.026,107487.01960427
0.8590076381948287,0.028,107487.021932538
15.507363229690224,0.03,107487.022061509
0.3420105394246783,0.032,107487.027909282
10.735257769373924,0.034,107487.028095584
0.17590072151162764,0.036,107487.039465634
0.05128789153603371,0.038,107487.078461193
15.142682469060514,0.04,107487.07859327
0.2957078595470266,0.042,107487.085356702
15.786938284937756,0.044,107487.085483389
21.707513894557305,0.046,107487.085575523
23.311383785065527,0.048,107487.085661318
23.478587152277175,0.05,107487.085746502
0.30625437239325337,0.052,107487.092277021
20.09565591483379,0.054,107487.092376545
19.297383091494094,0.056,107487.092480186
26.23569728844829,0.058,107487.092556418
21.742675668599432,0.06,107487.092648403
26.291923583732803,0.062,107487.092724472
28.273744236691577,0.064,107487.092795209
28.335030782831307,0.066,107487.092865793
27.204596287961603,0.068,107487.09293931
19.5614319566833,0.07,107487.093041552
26.780929485376898,0.072,107487.093116232
28.943979678408567,0.074,107487.093185331
29.518992573373882,0.076,107487.093253084
30.687550943754346,0.078,107487.093318257
30.1404518628494,0.08,107487.093384613
30.103713047049485,0.082,107487.09345105
27.895166121403783,0.084,107487.093522747
28.27134806893933,0.086,107487.09359349
0.2229430218879468,0.088,107487.102564392
14.690867176297427,0.09,107487.102700531
20.79196657163671,0.092,107487.102796722
24.19374462167415,0.094,107487.102879388
23.500104894980563,0.096,107487.102964494
0.03420009951115294,0.098,107487.161443856
15.46168725506951,0.1,107487.161573208
0.5620750005318534,0.102,107487.165131452
18.159861573868433,0.104,107487.165241585
25.35207603467198,0.106,107487.165320474
24.75217086908086,0.108,107487.165401275
27.513339581535437,0.11,107487.165473967
28.065846086740976,0.112,107487.165545228
28.507084299184818,0.114,107487.165615386
28.37321664222392,0.116,107487.165685875
28.778223503218243,0.118,107487.165755372
28.230646274333584,0.12,107487.165826217
28.353508365318287,0.122,107487.165896755
29.30488710730803,0.124,107487.165965003
20.247424926325582,0.126,107487.166063781
14.241463602545755,0.128,107487.166204216
26.58514011504585,0.13,107487.166279446
25.557147543257738,0.132,107487.166357702
28.443433161769143,0.134,107487.166428017
27.080451952225047,0.136,107487.166501871
24.112363605422328,0.138,107487.166584816
25.245834372913446,0.14,107487.166664037
23.984553974818855,0.142,107487.166747424
24.70477772037734,0.144,107487.16682838
25.189232890380207,0.146,107487.166907779
26.533292638345248,0.148,107487.166983156
0.10970648414272102,0.15,107487.185213619
21.544526289883326,0.152,107487.18530645
37.06930034183639,0.154,107487.185360403
36.42125419812214,0.156,107487.185415316
44.904462438457685,0.158,107487.185459855
51.99667129182299,0.16,107487.185498319
50.14038373591757,0.162,107487.185538207
50.40196587939893,0.164,107487.185577888
46.7213249159068,0.166,107487.185620695
0.3359666964120706,0.168,107487.191573666
14.534144392705771,0.17,107487.191711273
21.065936772585964,0.172,107487.191806213
5.18497389882977,0.174,107487.192191943
0.0750109947405901,0.176,107487.218854701
22.284617703694067,0.178,107487.218944449
37.0940522408282,0.18,107487.218998366
20.65454447350725,0.182,107487.219095197
47.49014650462401,0.184,107487.219137311
42.21991492425766,0.186,107487.219184682
29.57223714515576,0.188,107487.219252313
34.434676833458845,0.19,107487.219310394
0.5230869656361831,0.192,107487.22313385
33.840948172281905,0.194,107487.22319295
47.89845112013671,0.196,107487.223234705
52.102325695088425,0.198,107487.223273091
0.21729838580347235,0.2,107487.232477025
24.213368451911172,0.202,107487.232559624
42.79355671590523,0.204,107487.23260636
44.57520533064362,0.206,107487.232651228
52.928253047037,0.208,107487.232689015
44.51765430340066,0.21,107487.232733941
50.24999176338454,0.212,107487.232773742
55.30362034322794,0.214,107487.232809906
47.95012140153303,0.216,107487.232851616
51.619566260137,0.218,107487.232890361
27.924382835151043,0.22,107487.232961983
0.34030863928837424,0.222,107487.238839001
0.09105401995369444,0.224,107487.260803984
17.005789420596084,0.226,107487.260921591
15.718081692332461,0.228,107487.261048833
0.24418888431901853,0.23,107487.269239214
21.644086472437458,0.232,107487.269331618
0.19290352287590123,0.234,107487.279699495
20.54189732590082,0.236,107487.279796857
38.74016647123558,0.238,107487.279848483
45.53422397151311,0.24,107487.279892406
53.57765465461373,0.242,107487.279929735
52.845749707489055,0.244,107487.279967581
2.053282664672053,0.246,107487.280941631
43.74453856608236,0.248,107487.280987351
0.5542608952193018,0.25,107487.28459576
39.86922697435984,0.252,107487.284645924
45.465912867143224,0.254,107487.284689913
0.34184446253506795,0.256,107487.290540527
0.075760167105623,0.258,107487.316939624
0.11641873835730704,0.26,107487.334118989
0.4213897439994892,0.262,107487.338865189
15.386508185619766,0.264,107487.338995173
13.822941840112696,0.266,107487.33913986
23.640384336681286,0.268,107487.339224461
26.38557042950601,0.27,107487.33930026
27.1241641498077,0.272,107487.339373995
25.218772030950504,0.274,107487.339453301
0.1485279286115739,0.276,107487.352918782
13.693189466605173,0.278,107487.35306484
23.863502206053834,0.28,107487.35314865
24.442408376638667,0.282,107487.353230475
0.3274164270222144,0.284,107487.359338904
0.3147798920848262,0.286,107487.36569255
14.342159902734718,0.288,107487.365831999
23.13904348890409,0.29,107487.365918433
24.942634312135947,0.292,107487.365998617
0.22086937259495903,0.294,107487.375053743
14.770502903988541,0.296,107487.375189148
0.4045468643162772,0.298,107487.380132951
0.11370301554176204,0.3,107487.397722634
15.00881911035597,0.302,107487.397855889
23.06645426122591,0.304,107487.397942595
0.0844168659868425,0.306,107487.421634543
0.15690952271268094,0.308,107487.434380742
15.34048210064412,0.31,107487.434511116
21.507686109957024,0.312,107487.434604106
19.595164227945524,0.314,107487.434706172
20.93824488091513,0.316,107487.434801691
0.08454650165310439,0.318,107487.458457312
14.310143429668985,0.32,107487.458597073
21.569154347746274,0.322,107487.458689798
25.518995117301213,0.324,107487.458768171
26.033531586449374,0.326,107487.458844995
25.284127295806694,0.328,107487.458924096
0.29018015830427857,0.33,107487.465816366
22.14716916801813,0.332,107487.465906671
36.78499123245115,0.334,107487.465961041
1.472196830273106,0.336,107487.467319555
26.835908897018978,0.338,107487.467394082
34.74454286638092,0.34,107487.467451645
32.363508611575156,0.342,107487.467513443
46.93514113501548,0.344,107487.467556055
50.492290158006405,0.346,107487.467595665
21.69220936487463,0.348,107487.467687864
46.42525624511267,0.35,107487.467730944
0.18377138763713305,0.352,107487.478614031
24.808663436076614,0.354,107487.478694648
43.875038658149144,0.356,107487.478740232
0.39488614602719335,0.358,107487.483804983
0.07165949669742365,0.36,107487.511714752
15.90128649051401,0.362,107487.511840528
23.411525677242835,0.364,107487.511925956
0.9341739005281156,0.366,107487.514066885
20.868986963009366,0.368,107487.514162721
34.625436656181236,0.37,107487.514220482
0.3195631955260815,0.372,107487.520479025
23.669200678255912,0.374,107487.520563523
33.06878269477024,0.376,107487.520624003
44.937761665220975,0.378,107487.520668509
44.41779203110824,0.38,107487.520713536
47.74180099256743,0.382,107487.520755428
48.323197411117064,0.384,107487.520796816
2.6223489650677165,0.386,107487.521559491
0.5190425015622098,0.388,107487.52541274
37.555864492905926,0.39,107487.525465994
1.8531061286032833,0.392,107487.526545263
0.0989209847086096,0.394,107487.54676342
0.06037464276814238,0.396,107487.57988991
0.16573607252223935,0.398,107487.591957289
19.856044527345556,0.4,107487.592058014
37.51289405610986,0.402,107487.592111329
0.3061514236605136,0.404,107487.598644044
29.214570468146675,0.406,107487.598712503
39.17956987437479,0.408,107487.59876355
45.173241050903805,0.41,107487.598807824
49.11591518291569,0.412,107487.598848544
46.767222906858244,0.414,107487.598891309
46.04580744169439,0.416,107487.598934744
50.66754313336022,0.418,107487.598974217
29.17450910330583,0.42,107487.59904277
1.3632298759418646,0.422,107487.600509874
36.56373641240083,0.424,107487.600564573
