angular_x,angular_y,angular_z,linear_x,linear_y,linear_z,pitch,qw,qx,qy,qz,roll,sim_time,tilt_deg,x,y,yaw,z
0.9764561842112083,-0.015391710975904773,0.09606677798435788,-0.018941140181429266,-0.1332787708812631,0.10320162154106402,-0.8735317717919531,0.6188898403989409,0.2852331040117809,-0.3148456617399239,0.6606736343387162,-0.09821490182215821,1.254,50.280579407671524,-0.0015807370000739335,1.8169430135301257,1.6819616357133886,0.18829463079212347
0.9208206891259194,0.047047400893463695,0.17427004055824863,-0.01918579451853194,-0.13535531366098333,0.10800043556899101,-0.8753725453985015,0.6185265685124566,0.2858888844107163,-0.3153750453659122,0.6604778653180212,-0.09838819730812687,1.254,50.38599922341899,-0.001619108359842105,1.816672312695006,1.682443220025486,0.18851062677159183
0.9751327397929036,-0.016213076174788864,0.0952612181997464,-0.01885196972978048,-0.13344926081037278,0.10246071288828217,-0.8773071281490218,0.618179440431279,0.2865112671260976,-0.31600178791952666,0.6602335520628524,-0.09877885562949394,1.254,50.497764385650676,-0.001656811129349912,1.816405423984536,1.6829339255994922,0.18871553651441894
0.9183607750610658,0.04706923225378974,0.17488722328003842,-0.019114975622056187,-0.1355407310411022,0.10735539088179594,-0.8791429091768607,0.6178154283629851,0.28716526325641056,-0.3165287626985705,0.6600376886512237,-0.09895481394644491,1.254,50.60290688808296,-0.0016950408872010991,1.8161343524505318,1.6834192124748797,0.18893024248225854
0.9736352644867826,-0.016582818018339277,0.09470044859698755,-0.018765445626888737,-0.13357939923355788,0.10172475683820266,-0.8810741805926836,0.617467765707917,0.28778572360925914,-0.317154338050438,0.6597924381607877,-0.09935082717110934,1.254,50.71450060690469,-0.0017325711530269006,1.8158672030760468,1.6839138647953167,0.18913368046007994
0.9160993856713958,0.047233452271392744,0.1754886586810889,-0.019033331235256048,-0.13569741425803544,0.10671091189924992,-0.8829053905171504,0.6171030224342322,0.28843814913563215,-0.31767895032644394,0.6595963753275448,-0.09952910378081418,1.254,50.819388003418425,-0.0017706376649629114,1.8155958180553469,1.6844025675363503,0.18934709782906292
0.9721089160826605,-0.017152249258985394,0.09396351697419719,-0.018670958427185188,-0.13368984261148717,0.10099128232696931,-0.8848332499242844,0.6167548895053395,0.2890564805857618,-0.31830352033759884,0.659350154503145,-0.09993116738993067,1.254,50.930807658977805,-0.0018079789104459365,1.8153284478322433,1.68490137207114,0.1895490688661207
0.9136747989562397,0.04723900019734803,0.175846742196502,-0.018943571626799036,-0.13582741414195465,0.10604897391631628,-0.8866595310350663,0.6163895830117948,0.2897070572238188,-0.3188258316663349,0.6591538454803482,-0.10011222755502851,1.254,51.03542165680942,-0.001845866322903923,1.8150568030435659,1.6853933704048212,0.18976116239450525
0.9704990529897553,-0.017549643061466547,0.09316635538705435,-0.01856789689797434,-0.13378954581115596,0.10024696156860638,-0.8885838459633871,0.6160411048059135,0.2903233022107998,-0.31944925382754585,0.6589066031024048,-0.10051983738634131,1.254,51.14665722478474,-0.0018830015071835092,1.8147892333871798,1.6858958379510274,0.18996164483466751
0.9111826127113057,0.04742325560894793,0.17640641503077012,-0.018843978663739866,-0.13596220465774717,0.10536851414593094,-0.8904051052318056,0.6156751870788584,0.29097217239699236,-0.3199690541152506,0.6587101512156767,-0.10070313351899257,1.254,51.25098985716703,-0.0019206895279068655,1.8145173191405015,1.686391122325142,0.19017237742776244
